pageid,ns,title
30013855,14,"Category:People from Abbeville, Alabama"
52213105,14,"Category:People from Adamsville, Alabama"
30797356,14,"Category:People from Albertville, Alabama"
43549365,14,"Category:People from Alexander City, Alabama"
43549834,14,"Category:People from Andalusia, Alabama"
5558120,14,"Category:People from Anniston, Alabama"
31166374,14,"Category:People from Arab, Alabama"
43581387,14,"Category:People from Ashland, Alabama"
30796454,14,"Category:People from Athens, Alabama"
43552899,14,"Category:People from Atmore, Alabama"
5558232,14,"Category:People from Auburn, Alabama"
40314465,14,"Category:People from Bay Minette, Alabama"
27533303,14,"Category:People from Bessemer, Alabama"
3636692,14,"Category:People from Birmingham, Alabama"
30797530,14,"Category:People from Boaz, Alabama"
43552859,14,"Category:People from Brewton, Alabama"
30788227,14,"Category:People from Brighton, Alabama"
43582088,14,"Category:People from Brundidge, Alabama"
38673450,14,"Category:People from Calera, Alabama"
43566530,14,"Category:People from Camden, Alabama"
53546854,14,"Category:People from Carbon Hill, Alabama"
30788491,14,"Category:People from Centreville, Alabama"
30788587,14,"Category:People from Chelsea, Alabama"
44547281,14,"Category:People from Childersburg, Alabama"
30793792,14,"Category:People from Clanton, Alabama"
44561738,14,"Category:People from Clay, Alabama"
43576517,14,"Category:People from Clio, Alabama"
43567185,14,"Category:People from Columbiana, Alabama"
52232515,14,"Category:People from Cordova, Alabama"
13898560,14,"Category:People from Cullman, Alabama"
43549464,14,"Category:People from Dadeville, Alabama"
43561180,14,"Category:People from Daleville, Alabama"
40314071,14,"Category:People from Daphne, Alabama"
4145364,14,"Category:People from Decatur, Alabama"
25952646,14,"Category:People from Demopolis, Alabama"
5558301,14,"Category:People from Dothan, Alabama"
43550271,14,"Category:People from Elba, Alabama"
53192589,14,"Category:People from Ensley, Alabama"
43549667,14,"Category:People from Enterprise, Alabama"
43548206,14,"Category:People from Eufaula, Alabama"
32416194,14,"Category:People from Eutaw, Alabama"
43581714,14,"Category:People from Evergreen, Alabama"
30787691,14,"Category:People from Fairfield, Alabama"
40314246,14,"Category:People from Fairhope, Alabama"
43581917,14,"Category:People from Fayette, Alabama"
5558424,14,"Category:People from Florence, Alabama"
40314307,14,"Category:People from Foley, Alabama"
43553305,14,"Category:People from Fort Payne, Alabama"
5558466,14,"Category:People from Gadsden, Alabama"
44552651,14,"Category:People from Gardendale, Alabama"
44554397,14,"Category:People from Goodwater, Alabama"
32416320,14,"Category:People from Greensboro, Alabama"
40418055,14,"Category:People from Greenville, Alabama"
43576441,14,"Category:People from Gulf Shores, Alabama"
30797634,14,"Category:People from Guntersville, Alabama"
30793561,14,"Category:People from Haleyville, Alabama"
30793589,14,"Category:People from Hamilton, Alabama"
31166297,14,"Category:People from Hanceville, Alabama"
30013680,14,"Category:People from Hartford, Alabama"
30795352,14,"Category:People from Hartselle, Alabama"
44553284,14,"Category:People from Hayneville, Alabama"
52294349,14,"Category:People from Heflin, Alabama"
44547058,14,"Category:People from Helena, Alabama"
30788379,14,"Category:People from Homewood, Alabama"
25464369,14,"Category:People from Hoover, Alabama"
30787652,14,"Category:People from Hueytown, Alabama"
5816985,14,"Category:People from Huntsville, Alabama"
44547026,14,"Category:People from Irondale, Alabama"
43566691,14,"Category:People from Jackson, Alabama"
30794539,14,"Category:People from Jacksonville, Alabama"
30794080,14,"Category:People from Jasper, Alabama"
36029259,14,"Category:People from LaFayette, Alabama"
43561336,14,"Category:People from Lanett, Alabama"
27533249,14,"Category:People from Leeds, Alabama"
31288251,14,"Category:People from Linden, Alabama"
43581392,14,"Category:People from Lineville, Alabama"
43562604,14,"Category:People from Livingston, Alabama"
53546751,14,"Category:People from Luverne, Alabama"
43582189,14,"Category:People from Madison, Alabama"
43563345,14,"Category:People from Marion, Alabama"
53546286,14,"Category:People from Midway, Alabama"
33922387,14,"Category:People from Millbrook, Alabama"
6103189,14,"Category:People from Mobile, Alabama"
8240247,14,"Category:People from Monroeville, Alabama"
30788705,14,"Category:People from Montevallo, Alabama"
6108311,14,"Category:People from Montgomery, Alabama"
43582213,14,"Category:People from Moulton, Alabama"
44547311,14,"Category:People from Mountain Brook, Alabama"
40417752,14,"Category:People from Muscle Shoals, Alabama"
32416107,14,"Category:People from Northport, Alabama"
43563420,14,"Category:People from Opelika, Alabama"
43550063,14,"Category:People from Opp, Alabama"
53546480,14,"Category:People from Orange Beach, Alabama"
5629599,14,"Category:People from Oxford, Alabama"
23327976,14,"Category:People from Ozark, Alabama"
43599427,14,"Category:People from Pelham, Alabama"
30793924,14,"Category:People from Pell City, Alabama"
37677640,14,"Category:People from Phenix City, Alabama"
29610276,14,"Category:People from Piedmont, Alabama"
52237667,14,"Category:People from Pleasant Grove, Alabama"
24595561,14,"Category:People from Prattville, Alabama"
43562789,14,"Category:People from Prichard, Alabama"
44562749,14,"Category:People from Ragland, Alabama"
43581945,14,"Category:People from Red Bay, Alabama"
43566823,14,"Category:People from Reform, Alabama"
43553147,14,"Category:People from Roanoke, Alabama"
40314633,14,"Category:People from Robertsdale, Alabama"
30881321,14,"Category:People from Russellville, Alabama"
30828536,14,"Category:People from Scottsboro, Alabama"
7814787,14,"Category:People from Selma, Alabama"
43561719,14,"Category:People from Sheffield, Alabama"
44562796,14,"Category:People from Springville, Alabama"
30828616,14,"Category:People from Stevenson, Alabama"
43569737,14,"Category:People from Sulligent, Alabama"
44547133,14,"Category:People from Sylacauga, Alabama"
16969929,14,"Category:People from Talladega, Alabama"
43581831,14,"Category:People from Tallassee, Alabama"
43566688,14,"Category:People from Thomasville, Alabama"
33921986,14,"Category:People from Troy, Alabama"
30788315,14,"Category:People from Trussville, Alabama"
5558670,14,"Category:People from Tuscaloosa, Alabama"
8262556,14,"Category:People from Tuscumbia, Alabama"
9954770,14,"Category:People from Tuskegee, Alabama"
21068393,14,"Category:People from Union Springs, Alabama"
43563192,14,"Category:People from Uniontown, Alabama"
30977128,14,"Category:People from Valley, Alabama"
43567389,14,"Category:People from Vernon, Alabama"
43598451,14,"Category:People from Vestavia Hills, Alabama"
40083202,14,"Category:People from Warrior, Alabama"
43562324,14,"Category:People from Wetumpka, Alabama"
