pageid,ns,title
56517944,14,Category:Arizona politicians by city
43576354,14,"Category:People from Apache Junction, Arizona"
43572456,14,"Category:People from Avondale, Arizona"
31470161,14,"Category:People from Bisbee, Arizona"
52948609,14,"Category:People from Buckeye, Arizona"
43585328,14,"Category:People from Bullhead City, Arizona"
41499334,14,"Category:People from Casa Grande, Arizona"
5559130,14,"Category:People from Chandler, Arizona"
40323056,14,"Category:People from Douglas, Arizona"
43576327,14,"Category:People from Eloy, Arizona"
5559545,14,"Category:People from Flagstaff, Arizona"
5559206,14,"Category:People from Gilbert, Arizona"
5559238,14,"Category:People from Glendale, Arizona"
43571904,14,"Category:People from Globe, Arizona"
43576168,14,"Category:People from Holbrook, Arizona"
43587097,14,"Category:People from Kingman, Arizona"
31936134,14,"Category:People from Lake Havasu City, Arizona"
5559279,14,"Category:People from Mesa, Arizona"
28015216,14,"Category:People from Nogales, Arizona"
54528480,14,"Category:People from Page, Arizona"
5559301,14,"Category:People from Peoria, Arizona"
2435702,14,"Category:People from Phoenix, Arizona"
5559604,14,"Category:People from Prescott, Arizona"
49717535,14,"Category:People from Ray, Arizona"
43572341,14,"Category:People from Safford, Arizona"
5559383,14,"Category:People from Scottsdale, Arizona"
7189503,14,"Category:People from Sedona, Arizona"
43571233,14,"Category:People from Sierra Vista, Arizona"
43570016,14,"Category:People from St. Johns, Arizona"
5559424,14,"Category:People from Tempe, Arizona"
43570599,14,"Category:People from Tombstone, Arizona"
15165256,14,"Category:People from Tucson, Arizona"
54528553,14,"Category:People from Williams, Arizona"
54537459,14,"Category:People from Window Rock, Arizona"
43574715,14,"Category:People from Winslow, Arizona"
5559675,14,"Category:People from Yuma, Arizona"
