pageid,ns,title
54573190,14,Category:Arkansas politicians by city
43595204,14,"Category:People from Alma, Arkansas"
43589306,14,"Category:People from Arkadelphia, Arkansas"
43622974,14,"Category:People from Augusta, Arkansas"
43601916,14,"Category:People from Batesville, Arkansas"
43622894,14,"Category:People from Beebe, Arkansas"
13554750,14,"Category:People from Benton, Arkansas"
43588402,14,"Category:People from Bentonville, Arkansas"
43588994,14,"Category:People from Berryville, Arkansas"
43605691,14,"Category:People from Blytheville, Arkansas"
43603454,14,"Category:People from Booneville, Arkansas"
43605801,14,"Category:People from Brinkley, Arkansas"
43623348,14,"Category:People from Bryant, Arkansas"
43605191,14,"Category:People from Cabot, Arkansas"
11635658,14,"Category:People from Camden, Arkansas"
33893344,14,"Category:People from Charleston, Arkansas"
51091725,14,"Category:People from Cherry Valley, Arkansas"
43602250,14,"Category:People from Clarksville, Arkansas"
38118179,14,"Category:People from Clinton, Arkansas"
11978725,14,"Category:People from Conway, Arkansas"
43623022,14,"Category:People from Cotton Plant, Arkansas"
43587651,14,"Category:People from Crossett, Arkansas"
32417816,14,"Category:People from Danville, Arkansas"
43623119,14,"Category:People from Dardanelle, Arkansas"
43614588,14,"Category:People from De Queen, Arkansas"
30953221,14,"Category:People from De Witt, Arkansas"
43589106,14,"Category:People from Dermott, Arkansas"
43601762,14,"Category:People from Dierks, Arkansas"
18986284,14,"Category:People from El Dorado, Arkansas"
43622794,14,"Category:People from El Paso, Arkansas"
49396211,14,"Category:People from Emmet, Arkansas"
5559729,14,"Category:People from Fayetteville, Arkansas"
43595850,14,"Category:People from Fordyce, Arkansas"
43614841,14,"Category:People from Forrest City, Arkansas"
5559780,14,"Category:People from Fort Smith, Arkansas"
43588548,14,"Category:People from Gravette, Arkansas"
38117967,14,"Category:People from Greenbrier, Arkansas"
33893422,14,"Category:People from Greenwood, Arkansas"
43587590,14,"Category:People from Hamburg, Arkansas"
44255129,14,"Category:People from Hampton, Arkansas"
43614278,14,"Category:People from Harrisburg, Arkansas"
30811070,14,"Category:People from Harrison, Arkansas"
43614371,14,"Category:People from Hazen, Arkansas"
43589508,14,"Category:People from Heber Springs, Arkansas"
40325818,14,"Category:People from Helena, Arkansas"
12313943,14,"Category:People from Hope, Arkansas"
5559833,14,"Category:People from Hot Springs, Arkansas"
43605408,14,"Category:People from Huntsville, Arkansas"
38117817,14,"Category:People from Jacksonville, Arkansas"
5559897,14,"Category:People from Jonesboro, Arkansas"
43622847,14,"Category:People from Kensett, Arkansas"
43589117,14,"Category:People from Lake Village, Arkansas"
43614237,14,"Category:People from Lepanto, Arkansas"
43602470,14,"Category:People from Lewisville, Arkansas"
9844046,14,"Category:People from Little Rock, Arkansas"
43605131,14,"Category:People from Lonoke, Arkansas"
43589626,14,"Category:People from Magnolia, Arkansas"
12915889,14,"Category:People from Malvern, Arkansas"
43605685,14,"Category:People from Manila, Arkansas"
43602997,14,"Category:People from Marianna, Arkansas"
43595355,14,"Category:People from Marion, Arkansas"
43623293,14,"Category:People from Maumelle, Arkansas"
43597319,14,"Category:People from McGehee, Arkansas"
43614304,14,"Category:People from Mena, Arkansas"
43597655,14,"Category:People from Monticello, Arkansas"
43592678,14,"Category:People from Morrilton, Arkansas"
43605849,14,"Category:People from Mount Ida, Arkansas"
43588043,14,"Category:People from Mountain Home, Arkansas"
43615140,14,"Category:People from Mountain View, Arkansas"
43601662,14,"Category:People from Nashville, Arkansas"
43602186,14,"Category:People from Newport, Arkansas"
25659639,14,"Category:People from North Little Rock, Arkansas"
43605693,14,"Category:People from Osceola, Arkansas"
33893241,14,"Category:People from Ozark, Arkansas"
43598332,14,"Category:People from Paragould, Arkansas"
43603377,14,"Category:People from Paris, Arkansas"
18238276,14,"Category:People from Parkin, Arkansas"
43589444,14,"Category:People from Piggott, Arkansas"
5559982,14,"Category:People from Pine Bluff, Arkansas"
38118437,14,"Category:People from Pocahontas, Arkansas"
44256418,14,"Category:People from Prairie Grove, Arkansas"
43605882,14,"Category:People from Prescott, Arkansas"
43589426,14,"Category:People from Rector, Arkansas"
38117711,14,"Category:People from Rison, Arkansas"
33893896,14,"Category:People from Rogers, Arkansas"
43614321,14,"Category:People from Russellville, Arkansas"
19189064,14,"Category:People from Searcy, Arkansas"
43598259,14,"Category:People from Sheridan, Arkansas"
39220343,14,"Category:People from Sherwood, Arkansas"
33893932,14,"Category:People from Siloam Springs, Arkansas"
43615284,14,"Category:People from Smackover, Arkansas"
34968616,14,"Category:People from Springdale, Arkansas"
43602405,14,"Category:People from Stamps, Arkansas"
43603089,14,"Category:People from Star City, Arkansas"
43606704,14,"Category:People from Stephens, Arkansas"
43587473,14,"Category:People from Stuttgart, Arkansas"
25659836,14,"Category:People from Texarkana, Arkansas"
43614758,14,"Category:People from Trumann, Arkansas"
33893404,14,"Category:People from Van Buren, Arkansas"
21242899,14,"Category:People from Waldo, Arkansas"
43602873,14,"Category:People from Walnut Ridge, Arkansas"
43588795,14,"Category:People from Warren, Arkansas"
43622084,14,"Category:People from West Fork, Arkansas"
43613926,14,"Category:People from West Helena, Arkansas"
27912067,14,"Category:People from West Memphis, Arkansas"
43595472,14,"Category:People from Wynne, Arkansas"
