pageid,ns,title
42786894,14,Category:California politicians by city
34972548,14,"Category:People from Agoura Hills, California"
28843889,14,"Category:People from Alameda, California"
28844909,14,"Category:People from Albany, California"
24656289,14,"Category:People from Alhambra, California"
4666980,14,"Category:People from Aliso Viejo, California"
39451633,14,"Category:People from Alta Loma, Rancho Cucamonga, California"
33943290,14,"Category:People from Altadena, California"
52400185,14,"Category:People from Alturas, California"
4622203,14,"Category:People from Anaheim, California"
52640073,14,"Category:People from Anaheim Hills, California"
15548444,14,"Category:People from Antioch, California"
52622431,14,"Category:People from Apple Valley, California"
20739902,14,"Category:People from Arcadia, California"
33861986,14,"Category:People from Arcata, California"
52447879,14,"Category:People from Arroyo Grande, California"
48769841,14,"Category:People from Artesia, California"
49933793,14,"Category:People from Atascadero, California"
52547344,14,"Category:People from Atherton, California"
52400044,14,"Category:People from Atwater, California"
52403696,14,"Category:People from Auburn, California"
30600404,14,"Category:People from Avalon, California"
24665207,14,"Category:People from Azusa, California"
16723498,14,"Category:People from Bakersfield, California"
34055175,14,"Category:People from Baldwin Park, California"
26454516,14,"Category:People from Banning, California"
12256584,14,"Category:People from Barstow, California"
26526946,14,"Category:People from Beaumont, California"
52533619,14,"Category:People from Bell Canyon, California"
52688577,14,"Category:People from Bell Gardens, California"
30578211,14,"Category:People from Bell, California"
24195256,14,"Category:People from Bellflower, California"
52544787,14,"Category:People from Belmont, California"
52598442,14,"Category:People from Belvedere, California"
22217013,14,"Category:People from Benicia, California"
6103682,14,"Category:People from Berkeley, California"
4739049,14,"Category:People from Beverly Hills, California"
52627838,14,"Category:People from Big Bear Lake, California"
12530253,14,"Category:People from Bishop, California"
26545136,14,"Category:People from Blythe, California"
52396211,14,"Category:People from Boonville, California"
52688361,14,"Category:People from Bradbury, California"
52384777,14,"Category:People from Brawley, California"
34034641,14,"Category:People from Brea, California"
51501059,14,"Category:People from Brentwood, California"
52648928,14,"Category:People from Buena Park, California"
7143785,14,"Category:People from Burbank, California"
16070710,14,"Category:People from Burlingame, California"
30598038,14,"Category:People from Calabasas, California"
52384787,14,"Category:People from Calexico, California"
26552738,14,"Category:People from Calimesa, California"
52401448,14,"Category:People from Calistoga, California"
27731198,14,"Category:People from Camarillo, California"
52549637,14,"Category:People from Campbell, California"
26555294,14,"Category:People from Canyon Lake, California"
52457730,14,"Category:People from Capitola, California"
27720303,14,"Category:People from Carlsbad, California"
52486443,14,"Category:People from Carmel-by-the-Sea, California"
52455064,14,"Category:People from Carpinteria, California"
24665252,14,"Category:People from Carson, California"
52714884,14,"Category:People from Castaic, California"
26639761,14,"Category:People from Cathedral City, California"
28844431,14,"Category:People from Ceres, California"
21248542,14,"Category:People from Cerritos, California"
5560160,14,"Category:People from Chico, California"
24995237,14,"Category:People from Chino, California"
24995630,14,"Category:People from Chino Hills, California"
23842061,14,"Category:People from Chula Vista, California"
52438485,14,"Category:People from Citrus Heights, California"
30600555,14,"Category:People from Claremont, California"
52353890,14,"Category:People from Clayton, California"
33861872,14,"Category:People from Cloverdale, California"
24215078,14,"Category:People from Clovis, California"
27083422,14,"Category:People from Coachella, California"
52366056,14,"Category:People from Coalinga, California"
50932410,14,"Category:People from Colton, California"
52324810,14,"Category:People from Colusa, California"
24656596,14,"Category:People from Commerce, California"
7921214,14,"Category:People from Compton, California"
19173546,14,"Category:People from Concord, California"
52392615,14,"Category:People from Corcoran, California"
27441750,14,"Category:People from Corona, California"
30716219,14,"Category:People from Coronado, California"
52608994,14,"Category:People from Corte Madera, California"
30597648,14,"Category:People from Costa Mesa, California"
52484400,14,"Category:People from Cotati, California"
9995438,14,"Category:People from Covina, California"
11000362,14,"Category:People from Crescent City, California"
24664821,14,"Category:People from Culver City, California"
36013886,14,"Category:People from Cupertino, California"
34023595,14,"Category:People from Cypress, California"
31962567,14,"Category:People from Daly City, California"
34023447,14,"Category:People from Dana Point, California"
40140423,14,"Category:People from Danville, California"
7124947,14,"Category:People from Davis, California"
23989117,14,"Category:People from Del Mar, California"
27630968,14,"Category:People from Delano, California"
27611714,14,"Category:People from Desert Hot Springs, California"
33349027,14,"Category:People from Diamond Bar, California"
13213188,14,"Category:People from Dinuba, California"
52467418,14,"Category:People from Dixon, California"
24656326,14,"Category:People from Downey, California"
31344614,14,"Category:People from Duarte, California"
52309032,14,"Category:People from Dublin, California"
52466956,14,"Category:People from Dunsmuir, California"
52549055,14,"Category:People from East Palo Alto, California"
51079777,14,"Category:People from Eastvale, California"
5560211,14,"Category:People from El Centro, California"
31441086,14,"Category:People from El Cerrito, California"
30600723,14,"Category:People from El Monte, California"
30600512,14,"Category:People from El Segundo, California"
27991842,14,"Category:People from El Cajon, California"
37146881,14,"Category:People from Elk Grove, California"
30716162,14,"Category:People from Encinitas, California"
52447071,14,"Category:People from Escalon, California"
21309306,14,"Category:People from Escondido, California"
18262241,14,"Category:People from Eureka, California"
52473151,14,"Category:People from Exeter, California"
52588298,14,"Category:People from Fairfax, California"
22217105,14,"Category:People from Fairfield, California"
52473075,14,"Category:People from Farmersville, California"
52383089,14,"Category:People from Ferndale, California"
52527262,14,"Category:People from Fillmore, California"
43999498,14,"Category:People from Folsom, California"
23874342,14,"Category:People from Fontana, California"
52476760,14,"Category:People from Forestville, California"
52395942,14,"Category:People from Fort Bragg, California"
52498660,14,"Category:People from Fort Ord, California"
52383620,14,"Category:People from Fortuna, California"
52548615,14,"Category:People from Foster City, California"
24665540,14,"Category:People from Fountain Valley, California"
52366480,14,"Category:People from Fowler, California"
17655360,14,"Category:People from Fremont, California"
6104138,14,"Category:People from Fresno, California"
4621988,14,"Category:People from Fullerton, California"
52446508,14,"Category:People from Galt, California"
26049040,14,"Category:People from Garden Grove, California"
30578313,14,"Category:People from Gardena, California"
33789134,14,"Category:People from Gilroy, California"
23782208,14,"Category:People from Glen Ellen, California"
9995263,14,"Category:People from Glendale, California"
49797792,14,"Category:People from Glendora, California"
47443353,14,"Category:People from Goleta, California"
25173969,14,"Category:People from Grass Valley, California"
52578822,14,"Category:People from Greenbrae, California"
52317459,14,"Category:People from Gridley, California"
