pageid,ns,title
47690992,14,Category:Kansas politicians by city
53446086,14,"Category:People from Abilene, Kansas"
53526645,14,"Category:People from Altoona, Kansas"
49450009,14,"Category:People from Americus, Kansas"
40111733,14,"Category:People from Andover, Kansas"
53464553,14,"Category:People from Anthony, Kansas"
33884512,14,"Category:People from Arkansas City, Kansas"
36966309,14,"Category:People from Atchison, Kansas"
53434183,14,"Category:People from Augusta, Kansas"
53454675,14,"Category:People from Baldwin City, Kansas"
53436453,14,"Category:People from Baxter Springs, Kansas"
53507314,14,"Category:People from Belleville, Kansas"
53491099,14,"Category:People from Beloit, Kansas"
53526708,14,"Category:People from Bonner Springs, Kansas"
53496729,14,"Category:People from Burlingame, Kansas"
53444829,14,"Category:People from Burlington, Kansas"
53525839,14,"Category:People from Caldwell, Kansas"
53492179,14,"Category:People from Caney, Kansas"
50920723,14,"Category:People from Chanute, Kansas"
53446576,14,"Category:People from Chapman, Kansas"
53445657,14,"Category:People from Cherokee, Kansas"
53491934,14,"Category:People from Cherryvale, Kansas"
53436941,14,"Category:People from Clay Center, Kansas"
36957478,14,"Category:People from Clifton, Kansas"
36965333,14,"Category:People from Coffeyville, Kansas"
53525922,14,"Category:People from Colby, Kansas"
53436209,14,"Category:People from Columbus, Kansas"
53437054,14,"Category:People from Concordia, Kansas"
53435970,14,"Category:People from Cottonwood Falls, Kansas"
53495903,14,"Category:People from Council Grove, Kansas"
24187474,14,"Category:People from De Soto, Kansas"
53515392,14,"Category:People from Derby, Kansas"
18397215,14,"Category:People from Dodge City, Kansas"
53434041,14,"Category:People from Douglass, Kansas"
50129374,14,"Category:People from El Dorado, Kansas"
53496085,14,"Category:People from Elkhart, Kansas"
53456348,14,"Category:People from Ellsworth, Kansas"
18251338,14,"Category:People from Emporia, Kansas"
53454595,14,"Category:People from Eudora, Kansas"
53463709,14,"Category:People from Eureka, Kansas"
36964813,14,"Category:People from Fort Scott, Kansas"
53526492,14,"Category:People from Fredonia, Kansas"
53445717,14,"Category:People from Frontenac, Kansas"
