pageid,ns,title
52620691,14,Category:Michigan politicians by city
18403383,14,"Category:People from Adrian, Michigan"
18729336,14,"Category:People from Albion, Michigan"
54107923,14,"Category:People from Algonac, Michigan"
9511487,14,"Category:People from Allegan, Michigan"
54128341,14,"Category:People from Allen Park, Michigan"
9574747,14,"Category:People from Alma, Michigan"
54063985,14,"Category:People from Imlay City, Michigan"
54022174,14,"Category:People from Alpena, Michigan"
14892926,14,"Category:People from Ann Arbor, Michigan"
54145008,14,"Category:People from Auburn Hills, Michigan"
54042102,14,"Category:People from Bad Axe, Michigan"
54119820,14,"Category:People from Bangor, Michigan"
5718730,14,"Category:People from Battle Creek, Michigan"
5718771,14,"Category:People from Bay City, Michigan"
54044221,14,"Category:People from Belding, Michigan"
54129538,14,"Category:People from Belleville, Michigan"
7838695,14,"Category:People from Benton Harbor, Michigan"
54144247,14,"Category:People from Berkley, Michigan"
27316512,14,"Category:People from Bessemer, Michigan"
9532081,14,"Category:People from Big Rapids, Michigan"
30987022,14,"Category:People from Birmingham, Michigan"
8133294,14,"Category:People from Bloomfield Hills, Michigan"
30984378,14,"Category:People from Boyne City, Michigan"
54072282,14,"Category:People from Brighton, Michigan"
54062913,14,"Category:People from Brown City, Michigan"
54029991,14,"Category:People from Buchanan, Michigan"
54037405,14,"Category:People from Burton, Michigan"
15364808,14,"Category:People from Cadillac, Michigan"
54118641,14,"Category:People from Caro, Michigan"
54088380,14,"Category:People from Carson City, Michigan"
54061227,14,"Category:People from Cedar Springs, Michigan"
54030885,14,"Category:People from Charlevoix, Michigan"
54035595,14,"Category:People from Charlotte, Michigan"
54032874,14,"Category:People from Cheboygan, Michigan"
33932458,14,"Category:People from Chelsea, Michigan"
54032994,14,"Category:People from Clare, Michigan"
40998871,14,"Category:People from Clarkston, Michigan"
30987264,14,"Category:People from Clawson, Michigan"
51325496,14,"Category:People from Clio, Michigan"
26335089,14,"Category:People from Coldwater, Michigan"
54118354,14,"Category:People from Corunna, Michigan"
54118197,14,"Category:People from Croswell, Michigan"
