pageid,ns,title
56499853,14,Category:Nevada politicians by city
22041104,14,"Category:People from Boulder City, Nevada"
5733603,14,"Category:People from Carson City, Nevada"
34678727,14,"Category:People from Elko, Nevada"
55161561,14,"Category:People from Ely, Nevada"
55098429,14,"Category:People from Eureka, Nevada"
55023895,14,"Category:People from Fallon, Nevada"
55098291,14,"Category:People from Gardnerville, Nevada"
51760266,14,"Category:People from Goldfield, Nevada"
55143288,14,"Category:People from Hawthorne, Nevada"
17174349,14,"Category:People from Henderson, Nevada"
55159322,14,"Category:People from Incline Village, Nevada"
28367364,14,Category:People from Las Vegas
55158775,14,"Category:People from Lovelock, Nevada"
55063340,14,"Category:People from Mesquite, Nevada"
55075160,14,"Category:People from Minden, Nevada"
55048822,14,"Category:People from Bunkerville, Nevada"
55041444,14,"Category:People from North Las Vegas, Nevada"
55151584,14,"Category:People from Pahrump, Nevada"
5751624,14,"Category:People from Reno, Nevada"
27452114,14,"Category:People from Searchlight, Nevada"
27452746,14,"Category:People from Sparks, Nevada"
55164178,14,"Category:People from Summerlin, Nevada"
55143321,14,"Category:People from Tonopah, Nevada"
27453153,14,"Category:People from Virginia City, Nevada"
55099582,14,"Category:People from Winnemucca, Nevada"
55140302,14,"Category:People from Yerington, Nevada"
