pageid,ns,title
55650891,14,Category:New York (state) politicians by city
4586871,14,"Category:People from Albany, New York"
40392502,14,"Category:People from Amsterdam, New York"
20748413,14,"Category:People from Auburn, New York"
39337544,14,"Category:People from Baldwin, Chemung County, New York"
22433621,14,"Category:People from Ballston Spa, New York"
20862776,14,"Category:People from Batavia, New York"
12132684,14,"Category:People from Beacon, New York"
5720609,14,"Category:People from Binghamton, New York"
43732851,14,"Category:People from Brookfield, New York"
3616561,14,"Category:People from Buffalo, New York"
40398664,14,"Category:People from Canajoharie, New York"
20842777,14,"Category:People from Canandaigua, New York"
40401793,14,"Category:People from Catskill, New York"
35538289,14,"Category:People from Cazenovia, New York"
43629838,14,"Category:People from Cohoes, New York"
43832781,14,"Category:People from Corning, New York"
9564684,14,"Category:People from Cortland, New York"
40402049,14,"Category:People from Coxsackie, New York"
43658795,14,"Category:People from Dunkirk, New York"
5737846,14,"Category:People from Elmira, New York"
38663277,14,"Category:People from Endicott, New York"
20850763,14,"Category:People from Geneva, New York"
24165950,14,"Category:People from Glen Cove, New York"
5738756,14,"Category:People from Glens Falls, New York"
43707205,14,"Category:People from Gloversville, New York"
43833852,14,"Category:People from Hornell, New York"
39337384,14,"Category:People from Horseheads, New York"
20853231,14,"Category:People from Hudson, New York"
5752039,14,"Category:People from Ithaca, New York"
4201871,14,"Category:People from Jamestown, New York"
43707169,14,"Category:People from Johnstown, New York"
18788247,14,"Category:People from Kingston, New York"
42999837,14,"Category:People from Lackawanna, New York"
32610640,14,"Category:People from Lockport, New York"
23344253,14,"Category:People from Long Beach, New York"
43818382,14,"Category:People from Mechanicville, New York"
38896415,14,"Category:People from Middletown, Orange County, New York"
31007227,14,"Category:People from Mount Vernon, New York"
18508079,14,"Category:People from New Rochelle, New York"
2482963,14,Category:People from New York City
6108637,14,"Category:People from Newburgh, New York"
9518301,14,"Category:People from Niagara Falls, New York"
23016615,14,"Category:People from North Tonawanda, New York"
15209121,14,"Category:People from Norwich, New York"
40391234,14,"Category:People from Ogdensburg, New York"
43639582,14,"Category:People from Olean, New York"
43732416,14,"Category:People from Oneida, New York"
43796781,14,"Category:People from Oneonta, New York"
8337381,14,"Category:People from Oswego, New York"
43942510,14,"Category:People from Baldwin, Nassau County, New York"
13139499,14,"Category:People from Port Jervis, New York"
40399250,14,"Category:People from Plattsburgh, New York"
40391178,14,"Category:People from Potsdam, New York"
22134207,14,"Category:People from Poughkeepsie, New York"
6103087,14,"Category:People from Rochester, New York"
31013353,14,"Category:People from Rome, New York"
43639613,14,"Category:People from Salamanca, New York"
25083680,14,"Category:People from Saratoga Springs, New York"
9881193,14,"Category:People from Schenectady, New York"
5549965,14,"Category:People from Syracuse, New York"
43692804,14,"Category:People from Tonawanda, New York"
4923151,14,"Category:People from Troy, New York"
5350839,14,"Category:People from Utica, New York"
7047972,14,"Category:People from Watertown, New York"
23882613,14,"Category:People from Watervliet, New York"
43112051,14,"Category:People from Westchester County, New York by city"
