pageid,ns,title
55644717,14,Category:North Carolina politicians by city
34663349,14,"Category:People from Albemarle, North Carolina"
50494718,14,"Category:People from Asheboro, North Carolina"
4182159,14,"Category:People from Asheville, North Carolina"
30105191,14,"Category:People from Belmont, North Carolina"
57911094,14,"Category:People from Bessemer City, North Carolina"
45649429,14,"Category:People from Brevard, North Carolina"
5733393,14,"Category:People from Burlington, North Carolina"
5733982,14,"Category:People from Charlotte, North Carolina"
57911011,14,"Category:People from Cherryville, North Carolina"
58011396,14,"Category:People from China Grove, North Carolina"
58017671,14,"Category:People from Clinton, North Carolina"
17571892,14,"Category:People from Concord, North Carolina"
57884439,14,"Category:People from Conover, North Carolina"
40492564,14,"Category:People from Denver, North Carolina"
40185404,14,"Category:People from Dunn, North Carolina"
13507528,14,"Category:People from Durham, North Carolina"
58004793,14,"Category:People from Eden, North Carolina"
57993272,14,"Category:People from Elizabeth City, North Carolina"
5738341,14,"Category:People from Fayetteville, North Carolina"
39093610,14,"Category:People from Gastonia, North Carolina"
57798196,14,"Category:People from Gibsonville, North Carolina"
5746843,14,"Category:People from Goldsboro, North Carolina"
30993495,14,"Category:People from Graham, North Carolina"
5747221,14,"Category:People from Greensboro, North Carolina"
5747268,14,"Category:People from Greenville, North Carolina"
57996814,14,"Category:People from Hamlet, North Carolina"
57901845,14,"Category:People from Havelock, North Carolina"
10115987,14,"Category:People from Henderson, North Carolina"
30922076,14,"Category:People from Hendersonville, North Carolina"
5752421,14,"Category:People from Hickory, North Carolina"
11778336,14,"Category:People from High Point, North Carolina"
5752478,14,"Category:People from Jacksonville, North Carolina"
17355763,14,"Category:People from Kannapolis, North Carolina"
48138921,14,"Category:People from Kings Mountain, North Carolina"
29020439,14,"Category:People from Kinston, North Carolina"
30839927,14,"Category:People from Laurinburg, North Carolina"
57877931,14,"Category:People from Lenoir, North Carolina"
34520431,14,"Category:People from Lexington, North Carolina"
30932748,14,"Category:People from Lincolnton, North Carolina"
30833962,14,"Category:People from Lumberton, North Carolina"
57966237,14,"Category:People from Marion, North Carolina"
57798380,14,"Category:People from Mebane, North Carolina"
38984803,14,"Category:People from Monroe, North Carolina"
57829205,14,"Category:People from Morganton, North Carolina"
30844910,14,"Category:People from Mount Airy, North Carolina"
57911167,14,"Category:People from Mount Holly, North Carolina"
43609653,14,"Category:People from Mount Olive, North Carolina"
57975006,14,"Category:People from Nashville, North Carolina"
37468918,14,"Category:People from New Bern, North Carolina"
33678318,14,"Category:People from Oxford, North Carolina"
30838384,14,"Category:People from Raeford, North Carolina"
9574495,14,"Category:People from Raleigh, North Carolina"
57996567,14,"Category:People from Randleman, North Carolina"
30910506,14,"Category:People from Reidsville, North Carolina"
31027007,14,"Category:People from Roanoke Rapids, North Carolina"
5551624,14,"Category:People from Rocky Mount, North Carolina"
30909992,14,"Category:People from Roxboro, North Carolina"
36159860,14,"Category:People from Salisbury, North Carolina"
57932673,14,"Category:People from Saluda, North Carolina"
57943601,14,"Category:People from Sanford, North Carolina"
24911728,14,"Category:People from Shelby, North Carolina"
58107251,14,"Category:People from Southport, North Carolina"
34048840,14,"Category:People from Statesville, North Carolina"
9872469,14,"Category:People from Tarboro, North Carolina"
34488635,14,"Category:People from Thomasville, North Carolina"
36968497,14,"Category:People from Tobaccoville, North Carolina"
57996629,14,"Category:People from Trinity, North Carolina"
57812006,14,"Category:People from Washington, North Carolina"
31020993,14,"Category:People from Whiteville, North Carolina"
5552401,14,"Category:People from Wilmington, North Carolina"
21304679,14,"Category:People from Wilson, North Carolina"
5752602,14,"Category:People from Winston-Salem, North Carolina"
