pageid,ns,title
56499894,14,Category:North Dakota politicians by city
5720695,14,"Category:People from Bismarck, North Dakota"
48068698,14,"Category:People from Devils Lake, North Dakota"
34852550,14,"Category:People from Dickinson, North Dakota"
31165870,14,"Category:People from Ellendale, North Dakota"
43364536,14,"Category:People from Enderlin, North Dakota"
5738212,14,"Category:People from Fargo, North Dakota"
7511782,14,"Category:People from Grand Forks, North Dakota"
21032439,14,"Category:People from Grandin, North Dakota"
34639487,14,"Category:People from Jamestown, North Dakota"
34839268,14,"Category:People from Mandan, North Dakota"
8687263,14,"Category:People from Minot, North Dakota"
33676331,14,"Category:People from Rugby, North Dakota"
42433512,14,"Category:People from Wahpeton, North Dakota"
34824975,14,"Category:People from West Fargo, North Dakota"
34797060,14,"Category:People from Williston, North Dakota"
