pageid,ns,title
28882166,14,Category:Ohio politicians by city
52548823,14,"Category:People from Adena, Ohio"
6108399,14,"Category:People from Akron, Ohio"
17170282,14,"Category:People from Alliance, Ohio"
57531776,14,"Category:People from Amherst, Ohio"
40169014,14,"Category:People from Ashland, Ohio"
10031569,14,"Category:People from Ashtabula, Ohio"
7410880,14,"Category:People from Athens, Ohio"
29604013,14,"Category:People from Aurora, Ohio"
56550985,14,"Category:People from Avon Lake, Ohio"
38929617,14,"Category:People from Barberton, Ohio"
33572442,14,"Category:People from Bay Village, Ohio"
51874795,14,"Category:People from Beachwood, Ohio"
34663084,14,"Category:People from Beavercreek, Ohio"
57468910,14,"Category:People from Bedford Heights, Ohio"
29584105,14,"Category:People from Bedford, Ohio"
38599518,14,"Category:People from Bellaire, Ohio"
57493657,14,"Category:People from Bellbrook, Ohio"
47723492,14,"Category:People from Bellefontaine, Ohio"
40286639,14,"Category:People from Bellevue, Ohio"
57668402,14,"Category:People from Belpre, Ohio"
29583967,14,"Category:People from Berea, Ohio"
32587484,14,"Category:People from Bexley, Ohio"
43410635,14,"Category:People from Blue Ash, Ohio"
39379692,14,"Category:People from Bluffton, Ohio"
40521673,14,"Category:People from Bowling Green, Ohio"
57459827,14,"Category:People from Brecksville, Ohio"
29606780,14,"Category:People from Broadview Heights, Ohio"
57462864,14,"Category:People from Brooklyn, Ohio"
57570117,14,"Category:People from Brookville, Ohio"
57551833,14,"Category:People from Brunswick, Ohio"
54975529,14,"Category:People from Bryan, Ohio"
57458622,14,"Category:People from Bucyrus, Ohio"
17035363,14,"Category:People from Cambridge, Ohio"
57548274,14,"Category:People from Campbell, Ohio"
57479327,14,"Category:People from Canal Winchester, Ohio"
57546759,14,"Category:People from Canfield, Ohio"
5733523,14,"Category:People from Canton, Ohio"
40168209,14,"Category:People from Celina, Ohio"
49593529,14,"Category:People from Centerville, Ohio"
57487285,14,"Category:People from Chardon, Ohio"
45277972,14,"Category:People from Cheviot, Ohio"
7638307,14,"Category:People from Chillicothe, Ohio"
14893190,14,Category:People from Cincinnati
39740703,14,"Category:People from Circleville, Ohio"
28855351,14,"Category:People from Clayton, Ohio"
29584057,14,"Category:People from Cleveland Heights, Ohio"
14741062,14,Category:People from Cleveland
44712238,14,"Category:People from Clifton, Ohio"
57628895,14,"Category:People from Clyde, Ohio"
38070761,14,"Category:People from Columbiana, Ohio"
4684924,14,"Category:People from Columbus, Ohio"
40522063,14,"Category:People from Conneaut, Ohio"
40487357,14,"Category:People from Coshocton, Ohio"
38849503,14,"Category:People from Crestline, Ohio"
7631263,14,"Category:People from Cuyahoga Falls, Ohio"
6103570,14,"Category:People from Dayton, Ohio"
57496314,14,"Category:People from Deer Park, Ohio"
57470557,14,"Category:People from Defiance, Ohio"
34651150,14,"Category:People from Delaware, Ohio"
39420420,14,"Category:People from Delphos, Ohio"
37563977,14,"Category:People from Dover, Ohio"
22462579,14,"Category:People from Dublin, Ohio"
29603983,14,"Category:People from East Cleveland, Ohio"
39646102,14,"Category:People from East Liverpool, Ohio"
57597100,14,"Category:People from Eaton, Ohio"
7630894,14,"Category:People from Elyria, Ohio"
26644643,14,"Category:People from Euclid, Ohio"
7022983,14,"Category:People from Fairborn, Ohio"
38380298,14,"Category:People from Fairfield, Ohio"
57642224,14,"Category:People from Fairlawn, Ohio"
38604189,14,"Category:People from Fairview, Ohio"
29573315,14,"Category:People from Fairview Park, Ohio"
12840099,14,"Category:People from Findlay, Ohio"
39665162,14,"Category:People from Fostoria, Ohio"
33833082,14,"Category:People from Franklin, Ohio"
34272453,14,"Category:People from Fremont, Ohio"
38849292,14,"Category:People from Galion, Ohio"
10091067,14,"Category:People from Gallipolis, Ohio"
29584461,14,"Category:People from Garfield Heights, Ohio"
40487919,14,"Category:People from Geneva, Ohio"
57568933,14,"Category:People from Germantown, Ohio"
57644532,14,"Category:People from Girard, Ohio"
57485713,14,"Category:People from Grandview Heights, Ohio"
57643321,14,"Category:People from Green, Ohio"
50494385,14,"Category:People from Greenville, Ohio"
57479562,14,"Category:People from Grove City, Ohio"
57485802,14,"Category:People from Groveport, Ohio"
9995606,14,"Category:People from Hamilton, Ohio"
57500880,14,"Category:People from Harrison, Ohio"
57527665,14,"Category:People from Heath, Ohio"
57484445,14,"Category:People from Hilliard, Ohio"
30876225,14,"Category:People from Hillsboro, Ohio"
57644582,14,"Category:People from Hubbard, Ohio"
28854947,14,"Category:People from Huber Heights, Ohio"
8487998,14,"Category:People from Hudson, Ohio"
57468366,14,"Category:People from Independence, Ohio"
30969216,14,"Category:People from Ironton, Ohio"
57511786,14,"Category:People from Jackson, Ohio"
20933553,14,"Category:People from Kent, Ohio"
44552338,14,"Category:People from Kenton, Ohio"
28854879,14,"Category:People from Kettering, Ohio"
43261352,14,"Category:People from Kirtland, Ohio"
15082200,14,"Category:People from Lakewood, Ohio"
32969389,14,"Category:People from Lancaster, Ohio"
13051362,14,"Category:People from Lebanon, Ohio"
5551928,14,"Category:People from Lima, Ohio"
57504320,14,"Category:People from Logan, Ohio"
39879490,14,"Category:People from London, Ohio"
9540505,14,"Category:People from Lorain, Ohio"
57637318,14,"Category:People from Louisville, Ohio"
29398702,14,"Category:People from Loveland, Ohio"
29586000,14,"Category:People from Lyndhurst, Ohio"
57643644,14,"Category:People from Macedonia, Ohio"
57495841,14,"Category:People from Madeira, Ohio"
5752715,14,"Category:People from Mansfield, Ohio"
16727489,14,"Category:People from Marietta, Ohio"
8350130,14,"Category:People from Marion, Ohio"
38600327,14,"Category:People from Martins Ferry, Ohio"
43597527,14,"Category:People from Marysville, Ohio"
57664559,14,"Category:People from Mason, Ohio"
16966367,14,"Category:People from Massillon, Ohio"
57542237,14,"Category:People from Maumee, Ohio"
29604317,14,"Category:People from Mayfield Heights, Ohio"
51650797,14,"Category:People from Medina, Ohio"
16651097,14,"Category:People from Mentor, Ohio"
13051047,14,"Category:People from Miamisburg, Ohio"
29582548,14,"Category:People from Middleburg Heights, Ohio"
13050510,14,"Category:People from Middletown, Ohio"
39699896,14,"Category:People from Milford, Ohio"
38070233,14,"Category:People from Minerva, Ohio"
57434733,14,"Category:People from Monroe, Ohio"
40463400,14,"Category:People from Morrow, Ohio"
57495976,14,"Category:People from Mount Healthy, Ohio"
26659273,14,"Category:People from Mount Vernon, Ohio"
57504071,14,"Category:People from Napoleon, Ohio"
