pageid,ns,title
42794173,14,Category:Oregon politicians by city
14685988,14,"Category:People from Albany, Oregon"
11139343,14,"Category:People from Ashland, Oregon"
17707831,14,"Category:People from Astoria, Oregon"
24239036,14,"Category:People from Baker City, Oregon"
59148006,14,"Category:People from Bandon, Oregon"
59235726,14,"Category:People from Banks, Oregon"
18166083,14,"Category:People from Beaverton, Oregon"
5718883,14,"Category:People from Bend, Oregon"
59216969,14,"Category:People from Brownsville, Oregon"
59166635,14,"Category:People from Burns, Oregon"
20460094,14,"Category:People from Canby, Oregon"
59236139,14,"Category:People from Canyon City, Oregon"
59236078,14,"Category:People from Carlton, Oregon"
19790827,14,"Category:People from Central Point, Oregon"
59147752,14,"Category:People from Clatskanie, Oregon"
59166451,14,"Category:People from Condon, Oregon"
20014879,14,"Category:People from Coos Bay, Oregon"
59147941,14,"Category:People from Coquille, Oregon"
54282551,14,"Category:People from Cornelius, Oregon"
5736539,14,"Category:People from Corvallis, Oregon"
19968795,14,"Category:People from Cottage Grove, Oregon"
59233689,14,"Category:People from Cove, Oregon"
50645386,14,"Category:People from Creswell, Oregon"
19587820,14,"Category:People from Dallas, Oregon"
22739016,14,"Category:People from Dayton, Oregon"
59235974,14,"Category:People from Dundee, Oregon"
37192894,14,"Category:People from Eagle Point, Oregon"
59234854,14,"Category:People from Enterprise, Oregon"
5737950,14,"Category:People from Eugene, Oregon"
59210555,14,"Category:People from Florence, Oregon"
19092200,14,"Category:People from Forest Grove, Oregon"
59224272,14,"Category:People from Gervais, Oregon"
59151319,14,"Category:People from Gold Beach, Oregon"
14593341,14,"Category:People from Grants Pass, Oregon"
19593516,14,"Category:People from Gresham, Oregon"
59141244,14,"Category:People from Halfway, Oregon"
59216489,14,"Category:People from Halsey, Oregon"
59146391,14,"Category:People from Happy Valley, Oregon"
59224880,14,"Category:People from Heppner, Oregon"
56202143,14,"Category:People from Hermiston, Oregon"
11685265,14,"Category:People from Hillsboro, Oregon"
24207194,14,"Category:People from Hood River, Oregon"
59224330,14,"Category:People from Hubbard, Oregon"
45298792,14,"Category:People from Independence, Oregon"
23174114,14,"Category:People from Jacksonville, Oregon"
33372551,14,"Category:People from Junction City, Oregon"
29372037,14,"Category:People from Keizer, Oregon"
14661515,14,"Category:People from Klamath Falls, Oregon"
24203844,14,"Category:People from La Grande, Oregon"
22749377,14,"Category:People from Lafayette, Oregon"
15538865,14,"Category:People from Lake Oswego, Oregon"
32382326,14,"Category:People from Lakeview, Oregon"
14692374,14,"Category:People from Lebanon, Oregon"
59214381,14,"Category:People from Lincoln City, Oregon"
31044134,14,"Category:People from Madras, Oregon"
15168389,14,"Category:People from McMinnville, Oregon"
5753100,14,"Category:People from Medford, Oregon"
59231503,14,"Category:People from Milton-Freewater, Oregon"
16957109,14,"Category:People from Milwaukie, Oregon"
31419899,14,"Category:People from Molalla, Oregon"
59225944,14,"Category:People from Monmouth, Oregon"
59143698,14,"Category:People from Monroe, Oregon"
59166393,14,"Category:People from Myrtle Creek, Oregon"
59148198,14,"Category:People from Myrtle Point, Oregon"
15145012,14,"Category:People from Newberg, Oregon"
23871874,14,"Category:People from Newport, Oregon"
54510004,14,"Category:People from North Bend, Oregon"
59155728,14,"Category:People from Oakland, Oregon"
59210349,14,"Category:People from Oakridge, Oregon"
14667276,14,"Category:People from Ontario, Oregon"
14662080,14,"Category:People from Oregon City, Oregon"
14604548,14,"Category:People from Pendleton, Oregon"
59143719,14,"Category:People from Philomath, Oregon"
37192890,14,"Category:People from Phoenix, Oregon"
5977055,14,"Category:People from Portland, Oregon"
23174027,14,"Category:People from Prineville, Oregon"
59147829,14,"Category:People from Rainier, Oregon"
19535374,14,"Category:People from Redmond, Oregon"
59155572,14,"Category:People from Reedsport, Oregon"
37192892,14,"Category:People from Rogue River, Oregon"
10265506,14,"Category:People from Roseburg, Oregon"
5753149,14,"Category:People from Salem, Oregon"
37192897,14,"Category:People from Sandy, Oregon"
59147607,14,"Category:People from Scappoose, Oregon"
32394814,14,"Category:People from Seaside, Oregon"
55221076,14,"Category:People from Sherwood, Oregon"
20406596,14,"Category:People from Silverton, Oregon"
59154334,14,"Category:People from Sisters, Oregon"
16136549,14,"Category:People from Springfield, Oregon"
27885180,14,"Category:People from St. Helens, Oregon"
59218688,14,"Category:People from Stayton, Oregon"
59141172,14,"Category:People from Sumpter, Oregon"
37192908,14,"Category:People from Sweet Home, Oregon"
59193599,14,"Category:People from Talent, Oregon"
14665065,14,"Category:People from The Dalles, Oregon"
19050538,14,"Category:People from Tigard, Oregon"
32382285,14,"Category:People from Tillamook, Oregon"
51465450,14,"Category:People from Troutdale, Oregon"
17635437,14,"Category:People from Tualatin, Oregon"
59233507,14,"Category:People from Umatilla, Oregon"
59218618,14,"Category:People from Vale, Oregon"
59147447,14,"Category:People from Warrenton, Oregon"
19777467,14,"Category:People from West Linn, Oregon"
20390857,14,"Category:People from Wilsonville, Oregon"
19941345,14,"Category:People from Woodburn, Oregon"
59235890,14,"Category:People from Yamhill, Oregon"
46544609,14,"Category:People from Yoncalla, Oregon"
