pageid,ns,title
56618441,14,Category:South Dakota politicians by city
17196260,14,"Category:People from Aberdeen, South Dakota"
59037170,14,"Category:People from Armour, South Dakota"
59028240,14,"Category:People from Belle Fourche, South Dakota"
59055520,14,"Category:People from Beresford, South Dakota"
59069283,14,"Category:People from Brandon, South Dakota"
59055791,14,"Category:People from Britton, South Dakota"
44814480,14,"Category:People from Brookings, South Dakota"
59037877,14,"Category:People from Burke, South Dakota"
59051663,14,"Category:People from Canton, South Dakota"
59083853,14,"Category:People from Centerville, South Dakota"
59028133,14,"Category:People from Chamberlain, South Dakota"
59034245,14,"Category:People from Custer, South Dakota"
59046492,14,"Category:People from De Smet, South Dakota"
29716045,14,"Category:People from Deadwood, South Dakota"
59069098,14,"Category:People from Dell Rapids, South Dakota"
59079916,14,"Category:People from Doland, South Dakota"
59036951,14,"Category:People from Eagle Butte, South Dakota"
59083920,14,"Category:People from Elk Point, South Dakota"
59066917,14,"Category:People from Eureka, South Dakota"
59067150,14,"Category:People from Faith, South Dakota"
59037449,14,"Category:People from Faulkton, South Dakota"
59075330,14,"Category:People from Flandreau, South Dakota"
59079977,14,"Category:People from Fort Pierre, South Dakota"
59027849,14,"Category:People from Groton, South Dakota"
59069164,14,"Category:People from Hartford, South Dakota"
59079411,14,"Category:People from Hill City, South Dakota"
59037235,14,"Category:People from Hot Springs, South Dakota"
59069055,14,"Category:People from Howard, South Dakota"
59025802,14,"Category:People from Huron, South Dakota"
38932741,14,"Category:People from Ipswich, South Dakota"
59046810,14,"Category:People from Lead, South Dakota"
59079565,14,"Category:People from Lemmon, South Dakota"
59046659,14,"Category:People from Madison, South Dakota"
59037749,14,"Category:People from Milbank, South Dakota"
59038172,14,"Category:People from Miller, South Dakota"
59080736,14,"Category:People from Mission, South Dakota"
10597568,14,"Category:People from Mitchell, South Dakota"
59083970,14,"Category:People from Mobridge, South Dakota"
59038317,14,"Category:People from Parkston, South Dakota"
28339330,14,"Category:People from Pierre, South Dakota"
59032505,14,"Category:People from Clark, South Dakota"
59028833,14,"Category:People from Platte, South Dakota"
59055716,14,"Category:People from Presho, South Dakota"
16724713,14,"Category:People from Rapid City, South Dakota"
59079836,14,"Category:People from Redfield, South Dakota"
59066861,14,"Category:People from Salem, South Dakota"
59026946,14,"Category:People from Scotland, South Dakota"
16725207,14,"Category:People from Sioux Falls, South Dakota"
59079632,14,"Category:People from Sisseton, South Dakota"
59051513,14,"Category:People from Spearfish, South Dakota"
59027039,14,"Category:People from Springfield, South Dakota"
59067033,14,"Category:People from Sturgis, South Dakota"
59026889,14,"Category:People from Tyndall, South Dakota"
59055835,14,"Category:People from Veblen, South Dakota"
59032853,14,"Category:People from Vermillion, South Dakota"
59083881,14,"Category:People from Viborg, South Dakota"
59028661,14,"Category:People from Wagner, South Dakota"
27572975,14,"Category:People from Watertown, South Dakota"
59036764,14,"Category:People from Webster, South Dakota"
59079803,14,"Category:People from Woonsocket, South Dakota"
54276562,14,"Category:People from Yankton, South Dakota"
