pageid,ns,title
55650715,14,Category:Utah politicians by city
27879976,14,"Category:People from Alpine, Utah"
17434883,14,"Category:People from American Fork, Utah"
58364268,14,"Category:People from Beaver, Utah"
58412437,14,"Category:People from Bingham Canyon, Utah"
19390178,14,"Category:People from Bountiful, Utah"
16829754,14,"Category:People from Brigham City, Utah"
21284806,14,"Category:People from Cedar City, Utah"
58389370,14,"Category:People from Centerville, Utah"
58390750,14,"Category:People from Clearfield, Utah"
58420746,14,"Category:People from Coalville, Utah"
58403384,14,"Category:People from Delta, Utah"
20100608,14,"Category:People from Draper, Utah"
58400319,14,"Category:People from Duchesne, Utah"
58427618,14,"Category:People from Eagle Mountain, Utah"
58401349,14,"Category:People from Enoch, Utah"
22612331,14,"Category:People from Ephraim, Utah"
38244366,14,"Category:People from Eureka, Utah"
20214465,14,"Category:People from Farmington, Utah"
12727927,14,"Category:People from Fillmore, Utah"
58419286,14,"Category:People from Fountain Green, Utah"
58373651,14,"Category:People from Garland, Utah"
58419387,14,"Category:People from Glenwood, Utah"
58423915,14,"Category:People from Grantsville, Utah"
27386182,14,"Category:People from Heber City, Utah"
58380185,14,"Category:People from Helper, Utah"
58412614,14,"Category:People from Herriman, Utah"
58426871,14,"Category:People from Highland, Utah"
58412190,14,"Category:People from Holladay, Utah"
58441157,14,"Category:People from Hooper, Utah"
58437107,14,"Category:People from Hurricane, Utah"
58379870,14,"Category:People from Hyrum, Utah"
29612819,14,"Category:People from Kanab, Utah"
58389225,14,"Category:People from Kaysville, Utah"
18134684,14,"Category:People from Layton, Utah"
24340352,14,"Category:People from Lehi, Utah"
58427252,14,"Category:People from Lindon, Utah"
5762520,14,"Category:People from Logan, Utah"
20889919,14,"Category:People from Manti, Utah"
58427086,14,"Category:People from Mapleton, Utah"
58375356,14,"Category:People from Mendon, Utah"
20100795,14,"Category:People from Midvale, Utah"
58427893,14,"Category:People from Midway, Utah"
58379842,14,"Category:People from Millville, Utah"
58400673,14,"Category:People from Moab, Utah"
58419674,14,"Category:People from Monroe, Utah"
58415934,14,"Category:People from Monticello, Utah"
58410397,14,"Category:People from Morgan, Utah"
22612239,14,"Category:People from Mount Pleasant, Utah"
20100453,14,"Category:People from Murray, Utah"
58401754,14,"Category:People from Nephi, Utah"
58437429,14,"Category:People from North Ogden, Utah"
58390879,14,"Category:People from North Salt Lake, Utah"
58420646,14,"Category:People from Oakley, Utah"
5762648,14,"Category:People from Ogden, Utah"
7657115,14,"Category:People from Orem, Utah"
58400547,14,"Category:People from Panguitch, Utah"
24675777,14,"Category:People from Park City, Utah"
58401239,14,"Category:People from Parowan, Utah"
17364853,14,"Category:People from Payson, Utah"
58444472,14,"Category:People from Plain City, Utah"
58361233,14,"Category:People from Price, Utah"
5762701,14,"Category:People from Provo, Utah"
58362400,14,"Category:People from Richfield, Utah"
58375415,14,"Category:People from Richmond, Utah"
58400227,14,"Category:People from Roosevelt, Utah"
58444580,14,"Category:People from Roy, Utah"
14787152,14,Category:People from Salt Lake City
20100541,14,"Category:People from Sandy, Utah"
58437027,14,"Category:People from Santa Clara, Utah"
58364362,14,"Category:People from Santaquin, Utah"
58427668,14,"Category:People from Saratoga Springs, Utah"
58375105,14,"Category:People from Smithfield, Utah"
20100738,14,"Category:People from South Jordan, Utah"
18400054,14,"Category:People from Spanish Fork, Utah"
17387640,14,"Category:People from Springville, Utah"
5762794,14,"Category:People from St. George, Utah"
20100709,14,"Category:People from Taylorsville, Utah"
58353010,14,"Category:People from Tooele, Utah"
58373939,14,"Category:People from Tremonton, Utah"
20889875,14,"Category:People from Vernal, Utah"
20100661,14,"Category:People from West Jordan, Utah"
20087206,14,"Category:People from West Valley City, Utah"
58374718,14,"Category:People from Willard, Utah"
