pageid,ns,title
55644655,14,Category:Virginia politicians by city
16515707,14,"Category:People from Abingdon, Virginia"
57260896,14,"Category:People from Accomac, Virginia"
57368243,14,"Category:People from Afton, Virginia"
57359666,14,"Category:People from Aldie, Virginia"
7199726,14,"Category:People from Alexandria, Virginia"
57294818,14,"Category:People from Altavista, Virginia"
57273346,14,"Category:People from Amelia, Virginia"
31012816,14,"Category:People from Amherst, Virginia"
30866145,14,"Category:People from Appalachia, Virginia"
30941760,14,"Category:People from Appomattox, Virginia"
57353753,14,"Category:People from Ashburn, Virginia"
57341256,14,"Category:People from Ashland, Virginia"
57265823,14,"Category:People from Barboursville, Virginia"
57350095,14,"Category:People from Bassett, Virginia"
30866634,14,"Category:People from Bedford, Virginia"
57305584,14,"Category:People from Berryville, Virginia"
30866414,14,"Category:People from Big Stone Gap, Virginia"
5721024,14,"Category:People from Blacksburg, Virginia"
57370235,14,"Category:People from Blackstone, Virginia"
37868935,14,"Category:People from Bluefield, Virginia"
57305215,14,"Category:People from Bon Air, Virginia"
57296655,14,"Category:People from Bowling Green, Virginia"
57312188,14,"Category:People from Boyce, Virginia"
57366191,14,"Category:People from Boydton, Virginia"
57386875,14,"Category:People from Brentsville, Virginia"
30964201,14,"Category:People from Bridgewater, Virginia"
21128022,14,"Category:People from Bristol, Virginia"
57394896,14,"Category:People from Broadway, Virginia"
57295420,14,"Category:People from Brookneal, Virginia"
57287133,14,"Category:People from Buchanan, Virginia"
57292510,14,"Category:People from Buckingham, Virginia"
20578232,14,"Category:People from Buena Vista, Virginia"
57315940,14,"Category:People from Burke, Virginia"
57370376,14,"Category:People from Burkeville, Virginia"
46808897,14,"Category:People from Centreville, Virginia"
57322936,14,"Category:People from Chantilly, Virginia"
57303820,14,"Category:People from Charles City, Virginia"
29241630,14,"Category:People from Charlottesville, Virginia"
57366285,14,"Category:People from Chase City, Virginia"
30952160,14,"Category:People from Chatham, Virginia"
31020104,14,"Category:People from Cheriton, Virginia"
6149035,14,"Category:People from Chesapeake, Virginia"
57305376,14,"Category:People from Chester, Virginia"
57304983,14,"Category:People from Chesterfield, Virginia"
57400122,14,"Category:People from Chilhowie, Virginia"
57261167,14,"Category:People from Chincoteague, Virginia"
33682904,14,"Category:People from Christiansburg, Virginia"
57285643,14,"Category:People from Churchville, Virginia"
57366385,14,"Category:People from Clarksville, Virginia"
57316296,14,"Category:People from Clifton, Virginia"
30982380,14,"Category:People from Clifton Forge, Virginia"
57312994,14,"Category:People from Clintwood, Virginia"
57340492,14,"Category:People from Clover, Virginia"
30866116,14,"Category:People from Coeburn, Virginia"
57407699,14,"Category:People from Colonial Beach, Virginia"
22330692,14,"Category:People from Colonial Heights, Virginia"
57400262,14,"Category:People from Courtland, Virginia"
32155675,14,"Category:People from Covington, Virginia"
57370454,14,"Category:People from Crewe, Virginia"
30969001,14,"Category:People from Culpeper, Virginia"
57386965,14,"Category:People from Dale City, Virginia"
5736683,14,"Category:People from Danville, Virginia"
57394972,14,"Category:People from Dayton, Virginia"
57387632,14,"Category:People from Dublin, Virginia"
57386540,14,"Category:People from Dumfries, Virginia"
57368527,14,"Category:People from Eastville, Virginia"
22306697,14,"Category:People from Emporia, Virginia"
57305456,14,"Category:People from Ettrick, Virginia"
17035941,14,"Category:People from Fairfax, Virginia"
57324543,14,"Category:People from Fairfax Station, Virginia"
17349388,14,"Category:People from Falls Church, Virginia"
57401148,14,"Category:People from Falmouth, Virginia"
38710998,14,"Category:People from Farmville, Virginia"
57391825,14,"Category:People from Farnham, Virginia"
30830021,14,"Category:People from Fincastle, Virginia"
57328954,14,"Category:People from Floyd, Virginia"
57286580,14,"Category:People from Forest, Virginia"
57314945,14,"Category:People from Fort Belvoir, Virginia"
23329608,14,"Category:People from Franklin, Virginia"
16151496,14,"Category:People from Fredericksburg, Virginia"
57403214,14,"Category:People from Front Royal, Virginia"
57386754,14,"Category:People from Gainesville, Virginia"
21054603,14,"Category:People from Galax, Virginia"
30866566,14,"Category:People from Gate City, Virginia"
57334278,14,"Category:People from Gloucester Courthouse, Virginia"
57339628,14,"Category:People from Goochland, Virginia"
57374272,14,"Category:People from Gordonsville, Virginia"
57314198,14,"Category:People from Great Falls, Virginia"
30952113,14,"Category:People from Gretna, Virginia"
57276525,14,"Category:People from Grottoes, Virginia"
30939220,14,"Category:People from Grundy, Virginia"
57340061,14,"Category:People from Halifax, Virginia"
57360140,14,"Category:People from Hamilton, Virginia"
6394412,14,"Category:People from Hampton, Virginia"
57340796,14,"Category:People from Hanover, Virginia"
5762953,14,"Category:People from Harrisonburg, Virginia"
57386498,14,"Category:People from Haymarket, Virginia"
57316766,14,"Category:People from Herndon, Virginia"
57345744,14,"Category:People from Highland Springs, Virginia"
31009335,14,"Category:People from Hopewell, Virginia"
57286396,14,"Category:People from Hot Springs, Virginia"
30952137,14,"Category:People from Hurt, Virginia"
