pageid,ns,title
55644701,14,Category:West Virginia politicians by city
29633860,14,"Category:People from Beckley, West Virginia"
39836007,14,"Category:People from Benwood, West Virginia"
29583533,14,"Category:People from Bluefield, West Virginia"
30789139,14,"Category:People from Bridgeport, West Virginia"
35270004,14,"Category:People from Buckhannon, West Virginia"
37244899,14,"Category:People from Ceredo, West Virginia"
29583972,14,"Category:People from Charles Town, West Virginia"
5733798,14,"Category:People from Charleston, West Virginia"
35293594,14,"Category:People from Chester, West Virginia"
29584572,14,"Category:People from Clarksburg, West Virginia"
34248096,14,"Category:People from Elkins, West Virginia"
29631994,14,"Category:People from Fairmont, West Virginia"
39860392,14,"Category:People from Follansbee, West Virginia"
38714086,14,"Category:People from Glen Dale, West Virginia"
35190158,14,"Category:People from Grafton, West Virginia"
35550134,14,"Category:People from Hinton, West Virginia"
5121934,14,"Category:People from Huntington, West Virginia"
39845116,14,"Category:People from Hurricane, West Virginia"
30963375,14,"Category:People from Keyser, West Virginia"
35263432,14,"Category:People from Lewisburg, West Virginia"
27804134,14,"Category:People from Logan, West Virginia"
33702127,14,"Category:People from Madison, West Virginia"
6064937,14,"Category:People from Martinsburg, West Virginia"
33945777,14,"Category:People from Montgomery, West Virginia"
5763917,14,"Category:People from Morgantown, West Virginia"
27393165,14,"Category:People from Moundsville, West Virginia"
35129596,14,"Category:People from New Martinsville, West Virginia"
34151796,14,"Category:People from Nitro, West Virginia"
35205886,14,"Category:People from Oak Hill, West Virginia"
34247713,14,"Category:People from Paden City, West Virginia"
5763996,14,"Category:People from Parkersburg, West Virginia"
30969051,14,"Category:People from Philippi, West Virginia"
35520715,14,"Category:People from Point Pleasant, West Virginia"
29583568,14,"Category:People from Princeton, West Virginia"
37293462,14,"Category:People from Richwood, West Virginia"
34182700,14,"Category:People from Romney, West Virginia"
37244733,14,"Category:People from Ronceverte, West Virginia"
30789104,14,"Category:People from Salem, West Virginia"
30789016,14,"Category:People from Shinnston, West Virginia"
39807786,14,"Category:People from Sistersville, West Virginia"
35291386,14,"Category:People from Smithers, West Virginia"
15972017,14,"Category:People from South Charleston, West Virginia"
35533817,14,"Category:People from St. Albans, West Virginia"
5764112,14,"Category:People from Weirton, West Virginia"
35369009,14,"Category:People from Welch, West Virginia"
33683372,14,"Category:People from Wellsburg, West Virginia"
39809706,14,"Category:People from Weston, West Virginia"
5764194,14,"Category:People from Wheeling, West Virginia"
37241306,14,"Category:People from White Sulphur Springs, West Virginia"
30802358,14,"Category:People from Williamson, West Virginia"
