pageid,ns,title
42790974,14,Category:Connecticut politicians by city
14114232,14,Category:Lists of people by Connecticut municipalities
31249076,14,"Category:People from Ansonia, Connecticut"
5551505,14,"Category:People from Bridgeport, Connecticut"
35457283,14,"Category:People from Bristol, Connecticut"
27005223,14,"Category:People from Canaan, Connecticut"
14021411,14,"Category:People from Danbury, Connecticut"
9027835,14,"Category:People from Derby, Connecticut"
20864372,14,"Category:People from East Windsor, Connecticut"
8051150,14,"Category:People from Groton, Connecticut"
5562267,14,"Category:People from Hartford, Connecticut"
24979760,14,"Category:People from Litchfield, Connecticut"
20851488,14,"Category:People from Lyme, Connecticut"
11706682,14,"Category:People from Manchester, Connecticut"
24194953,14,"Category:People from Meriden, Connecticut"
29811761,14,"Category:People from Middletown, Connecticut"
31248939,14,"Category:People from Milford, Connecticut"
27966996,14,"Category:People from Montville, Connecticut"
43234683,14,"Category:People from Naugatuck, Connecticut"
21188801,14,"Category:People from New Britain, Connecticut"
5562313,14,"Category:People from New Haven, Connecticut"
19579318,14,"Category:People from New London, Connecticut"
7657375,14,"Category:People from Norwalk, Connecticut"
5562405,14,"Category:People from Norwich, Connecticut"
31249449,14,"Category:People from Shelton, Connecticut"
7677093,14,"Category:People from Stamford, Connecticut"
20862573,14,"Category:People from Torrington, Connecticut"
7220995,14,"Category:People from Waterbury, Connecticut"
31254177,14,"Category:People from West Haven, Connecticut"
37540120,14,"Category:People from Wethersfield, Connecticut"
