pageid,ns,title
55650931,14,Category:Florida politicians by city
52974743,14,"Category:People from Alachua, Florida"
36651457,14,"Category:People from Altamonte Springs, Florida"
53047203,14,"Category:People from Anna Maria, Florida"
31293039,14,"Category:People from Apalachicola, Florida"
37325794,14,"Category:People from Apopka, Florida"
36790811,14,"Category:People from Arcadia, Florida"
53011524,14,"Category:People from Atlantic Beach, Florida"
53130378,14,"Category:People from Auburndale, Florida"
53071619,14,"Category:People from Aventura, Florida"
53016987,14,"Category:People from Avon Park, Florida"
8359309,14,"Category:People from Bartow, Florida"
29749944,14,"Category:People from Belle Glade, Florida"
53005987,14,"Category:People from Blountstown, Florida"
7589439,14,"Category:People from Boca Raton, Florida"
53025721,14,"Category:People from Bonifay, Florida"
46257129,14,"Category:People from Bonita Springs, Florida"
29749503,14,"Category:People from Boynton Beach, Florida"
13056083,14,"Category:People from Bradenton, Florida"
41873404,14,"Category:People from Brooksville, Florida"
53015600,14,"Category:People from Bunnell, Florida"
52986516,14,"Category:People from Cape Canaveral, Florida"
5562540,14,"Category:People from Cape Coral, Florida"
53015695,14,"Category:People from Carrabelle, Florida"
53140079,14,"Category:People from Casselberry, Florida"
23838462,14,"Category:People from Chipley, Florida"
20973215,14,"Category:People from Clearwater, Florida"
29748592,14,"Category:People from Clermont, Florida"
53016324,14,"Category:People from Clewiston, Florida"
29638558,14,"Category:People from Cocoa Beach, Florida"
52975269,14,"Category:People from Cocoa, Florida"
52996507,14,"Category:People from Coconut Creek, Florida"
53004959,14,"Category:People from Cooper City, Florida"
30383035,14,"Category:People from Coral Gables, Florida"
35940577,14,"Category:People from Coral Springs, Florida"
53131721,14,"Category:People from Crescent City, Florida"
31293565,14,"Category:People from Crestview, Florida"
52964736,14,"Category:People from Crystal River, Florida"
53081346,14,"Category:People from Cutler Bay, Florida"
43582319,14,"Category:People from Dade City, Florida"
53005662,14,"Category:People from Dania Beach, Florida"
53130945,14,"Category:People from Davenport, Florida"
31075565,14,"Category:People from Davie, Florida"
25598311,14,"Category:People from Daytona Beach, Florida"
37767471,14,"Category:People from Deerfield Beach, Florida"
52962970,14,"Category:People from DeFuniak Springs, Florida"
19339219,14,"Category:People from DeLand, Florida"
35383139,14,"Category:People from Delray Beach, Florida"
53148771,14,"Category:People from Deltona, Florida"
31294007,14,"Category:People from Destin, Florida"
35354456,14,"Category:People from Dunedin, Florida"
53049662,14,"Category:People from Dunnellon, Florida"
53100478,14,"Category:People from Eatonville, Florida"
52995667,14,"Category:People from Eau Gallie, Florida"
29748222,14,"Category:People from Eustis, Florida"
52962589,14,"Category:People from Fernandina Beach, Florida"
14933349,14,"Category:People from Fort Lauderdale, Florida"
53130516,14,"Category:People from Fort Meade, Florida"
7908947,14,"Category:People from Fort Myers, Florida"
38983029,14,"Category:People from Fort Pierce, Florida"
5562689,14,"Category:People from Fort Walton Beach, Florida"
5562745,14,"Category:People from Gainesville, Florida"
52943143,14,"Category:People from Graceville, Florida"
47496066,14,"Category:People from Grant, Florida"
52935716,14,"Category:People from Green Cove Springs, Florida"
53109356,14,"Category:People from Greenacres, Florida"
52941104,14,"Category:People from Gulf Breeze, Florida"
53127839,14,"Category:People from Gulfport, Florida"
29656588,14,"Category:People from Haines City, Florida"
52996230,14,"Category:People from Hallandale Beach, Florida"
31306372,14,"Category:People from Hawthorne, Florida"
27468422,14,"Category:People from Hialeah, Florida"
52974584,14,"Category:People from High Springs, Florida"
53148709,14,"Category:People from Holly Hill, Florida"
27756787,14,"Category:People from Hollywood, Florida"
53047043,14,"Category:People from Holmes Beach, Florida"
36486971,14,"Category:People from Homestead, Florida"
52995977,14,"Category:People from Indian Harbour Beach, Florida"
52964584,14,"Category:People from Inverness, Florida"
14461340,14,"Category:People from Jacksonville, Florida"
53010908,14,"Category:People from Jacksonville Beach, Florida"
53016071,14,"Category:People from Jasper, Florida"
53081647,14,"Category:People from Kendall, Florida"
5918512,14,"Category:People from Key West, Florida"
18763437,14,"Category:People from Kissimmee, Florida"
53148591,14,"Category:People from Lake Butler, Florida"
17569224,14,"Category:People from Lake City, Florida"
53138889,14,"Category:People from Lake Mary, Florida"
32243563,14,"Category:People from Lake Wales, Florida"
29749607,14,"Category:People from Lake Worth, Florida"
5562802,14,"Category:People from Lakeland, Florida"
33891273,14,"Category:People from Largo, Florida"
53005207,14,"Category:People from Lauderdale Lakes, Florida"
46627925,14,"Category:People from Lauderhill, Florida"
29748393,14,"Category:People from Leesburg, Florida"
53005588,14,"Category:People from Lighthouse Point, Florida"
36724746,14,"Category:People from Live Oak, Florida"
53138615,14,"Category:People from Longwood, Florida"
53045320,14,"Category:People from Madison, Florida"
53099970,14,"Category:People from Maitland, Florida"
53006655,14,"Category:People from Marco Island, Florida"
52996734,14,"Category:People from Margate, Florida"
52942862,14,"Category:People from Marianna, Florida"
35218367,14,"Category:People from Melbourne, Florida"
49141807,14,"Category:People from West Melbourne, Florida"
10866175,14,Category:People from Miami
27965926,14,"Category:People from Miami Beach, Florida"
31075267,14,"Category:People from Miami Gardens, Florida"
52941072,14,"Category:People from Milton, Florida"
36780786,14,"Category:People from Miramar, Florida"
53026258,14,"Category:People from Monticello, Florida"
24531796,14,"Category:People from Mulberry, Florida"
5562837,14,"Category:People from Naples, Florida"
43582356,14,"Category:People from New Port Richey, Florida"
32243648,14,"Category:People from New Smyrna Beach, Florida"
31297922,14,"Category:People from Niceville, Florida"
53079212,14,"Category:People from North Miami, Florida"
53081887,14,"Category:People from North Miami Beach, Florida"
53005470,14,"Category:People from Oakland Park, Florida"
5562898,14,"Category:People from Ocala, Florida"
53090019,14,"Category:People from Okeechobee, Florida"
53129537,14,"Category:People from Oldsmar, Florida"
31158205,14,"Category:People from Opa-locka, Florida"
53148650,14,"Category:People from Orange City, Florida"
6103904,14,"Category:People from Orlando, Florida"
35938936,14,"Category:People from Ormond Beach, Florida"
53139874,14,"Category:People from Oviedo, Florida"
6391275,14,"Category:People from Pahokee, Florida"
31960079,14,"Category:People from Palatka, Florida"
37712962,14,"Category:People from Palm Bay, Florida"
7337776,14,"Category:People from Palm Beach, Florida"
40408670,14,"Category:People from Palm Beach Gardens, Florida"
37729086,14,"Category:People from Palm Coast, Florida"
53045686,14,"Category:People from Palmetto, Florida"
5563062,14,"Category:People from Panama City, Florida"
53006128,14,"Category:People from Parkland, Florida"
27878486,14,"Category:People from Pembroke Pines, Florida"
5563108,14,"Category:People from Pensacola, Florida"
53148531,14,"Category:People from Perry, Florida"
36697324,14,"Category:People from Pinellas Park, Florida"
53020992,14,"Category:People from Plant City, Florida"
37720735,14,"Category:People from Plantation, Florida"
27878470,14,"Category:People from Pompano Beach, Florida"
39525915,14,"Category:People from Port Orange, Florida"
53015920,14,"Category:People from Port St. Joe, Florida"
5563157,14,"Category:People from Port St. Lucie, Florida"
5563209,14,"Category:People from Punta Gorda, Florida"
52945165,14,"Category:People from Quincy, Florida"
29749097,14,"Category:People from Riviera Beach, Florida"
52975145,14,"Category:People from Rockledge, Florida"
53214289,14,"Category:People from Ruskin, Florida"
45609522,14,"Category:People from San Antonio, Florida"
53036212,14,"Category:People from Sanibel, Florida"
5563719,14,"Category:People from Sarasota, Florida"
29595421,14,"Category:People from Satellite Beach, Florida"
52995405,14,"Category:People from Sebastian, Florida"
52945395,14,"Category:People from Sebring, Florida"
35355209,14,"Category:People from Seminole, Florida"
53080857,14,"Category:People from South Miami, Florida"
53129436,14,"Category:People from South Pasadena, Florida"
8262815,14,"Category:People from St. Augustine, Florida"
53100701,14,"Category:People from St. Cloud, Florida"
5563640,14,"Category:People from St. Petersburg, Florida"
52974929,14,"Category:People from Starke, Florida"
36182024,14,"Category:People from Stuart, Florida"
53081022,14,"Category:People from Sunny Isles Beach, Florida"
27878380,14,"Category:People from Sunrise, Florida"
5563758,14,"Category:People from Tallahassee, Florida"
53005116,14,"Category:People from Tamarac, Florida"
16725348,14,"Category:People from Tampa, Florida"
35354935,14,"Category:People from Tarpon Springs, Florida"
29748524,14,"Category:People from Tavares, Florida"
53022813,14,"Category:People from Temple Terrace, Florida"
43073692,14,"Category:People from Titusville, Florida"
53120960,14,"Category:People from Treasure Island, Florida"
53028428,14,"Category:People from Umatilla, Florida"
31304975,14,"Category:People from Valparaiso, Florida"
43689715,14,"Category:People from Venice, Florida"
5563872,14,"Category:People from Vero Beach, Florida"
53016224,14,"Category:People from Wauchula, Florida"
23275335,14,"Category:People from West Palm Beach, Florida"
37536095,14,"Category:People from Weston, Florida"
53016035,14,"Category:People from Wewahitchka, Florida"
53146370,14,"Category:People from Wildwood, Florida"
53005035,14,"Category:People from Wilton Manors, Florida"
53100208,14,"Category:People from Winter Garden, Florida"
10091179,14,"Category:People from Winter Haven, Florida"
29579590,14,"Category:People from Winter Park, Florida"
53139655,14,"Category:People from Winter Springs, Florida"
34560460,14,"Category:People from Zephyrhills, Florida"
