pageid,ns,title
56617936,14,Category:Georgia (U.S. state) politicians by city
44118097,14,"Category:People from Adairsville, Georgia"
5550823,14,"Category:People from Albany, Georgia"
39803886,14,"Category:People from Alpharetta, Georgia"
36446926,14,"Category:People from Americus, Georgia"
53155595,14,"Category:People from Arlington, Georgia"
5563973,14,"Category:People from Athens, Georgia"
16723114,14,Category:People from Atlanta
4521170,14,"Category:People from Augusta, Georgia"
44129185,14,"Category:People from Austell, Georgia"
28267276,14,"Category:People from Avondale Estates, Georgia"
39804507,14,"Category:People from Bainbridge, Georgia"
44149268,14,"Category:People from Barnesville, Georgia"
44117220,14,"Category:People from Baxley, Georgia"
31959007,14,"Category:People from Blackshear, Georgia"
44167959,14,"Category:People from Blairsville, Georgia"
44138309,14,"Category:People from Blakely, Georgia"
44139005,14,"Category:People from Blue Ridge, Georgia"
44122570,14,"Category:People from Bowdon, Georgia"
44147580,14,"Category:People from Bremen, Georgia"
47031824,14,"Category:People from Brookhaven, Georgia"
5564067,14,"Category:People from Brunswick, Georgia"
44153981,14,"Category:People from Buena Vista, Georgia"
20069540,14,"Category:People from Buford, Georgia"
44163847,14,"Category:People from Butler, Georgia"
44141052,14,"Category:People from Cairo, Georgia"
33749963,14,"Category:People from Calhoun, Georgia"
44154481,14,"Category:People from Camilla, Georgia"
41872853,14,"Category:People from Canton, Georgia"
44140172,14,"Category:People from Carnesville, Georgia"
44122038,14,"Category:People from Carrollton, Georgia"
44117797,14,"Category:People from Cartersville, Georgia"
44157746,14,"Category:People from Cedartown, Georgia"
44137804,14,"Category:People from Chamblee, Georgia"
44156680,14,"Category:People from Chatsworth, Georgia"
44146188,14,"Category:People from Clarkesville, Georgia"
44137160,14,"Category:People from Clarkston, Georgia"
44138875,14,"Category:People from Claxton, Georgia"
44161265,14,"Category:People from Clayton, Georgia"
44173004,14,"Category:People from Cleveland, Georgia"
23817333,14,"Category:People from College Park, Georgia"
44154384,14,"Category:People from Colquitt, Georgia"
5564140,14,"Category:People from Columbus, Georgia"
44148520,14,"Category:People from Commerce, Georgia"
32362369,14,"Category:People from Conyers, Georgia"
44131986,14,"Category:People from Cordele, Georgia"
44156694,14,"Category:People from Covington, Georgia"
44163573,14,"Category:People from Crawfordville, Georgia"
44139433,14,"Category:People from Cumming, Georgia"
44161378,14,"Category:People from Cuthbert, Georgia"
44145715,14,"Category:People from Dacula, Georgia"
33691119,14,"Category:People from Dahlonega, Georgia"
44156929,14,"Category:People from Dallas, Georgia"
5564202,14,"Category:People from Dalton, Georgia"
31958954,14,"Category:People from Darien, Georgia"
44164051,14,"Category:People from Dawson, Georgia"
36260627,14,"Category:People from Dawsonville, Georgia"
25567752,14,"Category:People from Decatur, Georgia"
44161880,14,"Category:People from Donalsonville, Georgia"
44129289,14,"Category:People from Douglas, Georgia"
44138090,14,"Category:People from Douglasville, Georgia"
44149341,14,"Category:People from Dublin, Georgia"
14392921,14,"Category:People from Duluth, Georgia"
20633253,14,"Category:People from Dunwoody, Georgia"
20488586,14,"Category:People from East Point, Georgia"
44137959,14,"Category:People from Eastman, Georgia"
44157874,14,"Category:People from Eatonton, Georgia"
12839162,14,"Category:People from Elberton, Georgia"
44140365,14,"Category:People from Fairburn, Georgia"
39051887,14,"Category:People from Fayetteville, Georgia"
23816709,14,"Category:People from Fitzgerald, Georgia"
44128515,14,"Category:People from Forest Park, Georgia"
44154753,14,"Category:People from Forsyth, Georgia"
44127944,14,"Category:People from Fort Gaines, Georgia"
44122887,14,"Category:People from Fort Oglethorpe, Georgia"
44157037,14,"Category:People from Fort Valley, Georgia"
