pageid,ns,title
47690951,14,Category:Illinois politicians by city
53300213,14,"Category:People from Abingdon, Illinois"
53252791,14,"Category:People from Albion, Illinois"
30954842,14,"Category:People from Aledo, Illinois"
10546064,14,"Category:People from Alton, Illinois"
53316684,14,"Category:People from Amboy, Illinois"
10545899,14,"Category:People from Anna, Illinois"
53233128,14,"Category:People from Arcola, Illinois"
53213967,14,"Category:People from Assumption, Illinois"
53317336,14,"Category:People from Atlanta, Illinois"
11369797,14,"Category:People from Aurora, Illinois"
53374052,14,"Category:People from Barry, Illinois"
53223846,14,"Category:People from Bartlett, Illinois"
53254475,14,"Category:People from Batavia, Illinois"
53203117,14,"Category:People from Beardstown, Illinois"
10546176,14,"Category:People from Belleville, Illinois"
41033009,14,"Category:People from Belvidere, Illinois"
53253993,14,"Category:People from Benton, Illinois"
10763051,14,"Category:People from Berwyn, Illinois"
5565042,14,"Category:People from Bloomington, Illinois"
11573171,14,"Category:People from Blue Island, Illinois"
53214647,14,"Category:People from Breese, Illinois"
53328818,14,"Category:People from Bushnell, Illinois"
53365738,14,"Category:People from Byron, Illinois"
13672365,14,"Category:People from Cairo, Illinois"
53202138,14,"Category:People from Greenville, Illinois"
53202331,14,"Category:People from Caledonia, Illinois"
25897069,14,"Category:People from Calumet City, Illinois"
10190578,14,"Category:People from Canton, Illinois"
10898905,14,"Category:People from Carbondale, Illinois"
53317577,14,"Category:People from Carlinville, Illinois"
53214515,14,"Category:People from Carlyle, Illinois"
53399007,14,"Category:People from Carmi, Illinois"
53266288,14,"Category:People from Carrollton, Illinois"
53401905,14,"Category:People from Carterville, Illinois"
53271255,14,"Category:People from Carthage, Illinois"
53333961,14,"Category:People from Cary, Illinois"
53214095,14,"Category:People from Casey, Illinois"
11620493,14,"Category:People from Centralia, Illinois"
53384994,14,"Category:People from Centreville, Illinois"
5565178,14,"Category:People from Champaign, Illinois"
53215108,14,"Category:People from Charleston, Illinois"
27818974,14,"Category:People from Chenoa, Illinois"
53374553,14,"Category:People from Chester, Illinois"
17426481,14,Category:People from Chicago
10545735,14,"Category:People from Chicago Heights, Illinois"
53366023,14,"Category:People from Chillicothe, Illinois"
53254224,14,"Category:People from Christopher, Illinois"
45631690,14,"Category:People from Clinton, Illinois"
39339701,14,"Category:People from Collinsville, Illinois"
30955082,14,"Category:People from Colona, Illinois"
39339803,14,"Category:People from Columbia, Illinois"
53231548,14,"Category:People from Country Club Hills, Illinois"
35580424,14,"Category:People from Crystal Lake, Illinois"
53264035,14,"Category:People from Cuba, Illinois"
5565292,14,"Category:People from Danville, Illinois"
10504720,14,"Category:People from Darien, Illinois"
5565339,14,"Category:People from Decatur, Illinois"
11570739,14,"Category:People from DeKalb, Illinois"
53393685,14,"Category:People from Delavan, Illinois"
25895873,14,"Category:People from Des Plaines, Illinois"
18067379,14,"Category:People from Dixon, Illinois"
53372740,14,"Category:People from Du Quoin, Illinois"
31330223,14,"Category:People from Earlville, Illinois"
10884744,14,"Category:People from East Moline, Illinois"
53394327,14,"Category:People from East Peoria, Illinois"
10545776,14,"Category:People from East St. Louis, Illinois"
12413738,14,"Category:People from Edwardsville, Illinois"
53253003,14,"Category:People from Effingham, Illinois"
29990159,14,"Category:People from El Paso, Illinois"
9231614,14,"Category:People from Elgin, Illinois"
53276896,14,"Category:People from Elizabethtown, Illinois"
53317475,14,"Category:People from Elkhart, Illinois"
11247406,14,"Category:People from Elmhurst, Illinois"
10490428,14,"Category:People from Elmwood, Illinois"
53402675,14,"Category:People from Eureka, Illinois"
7862544,14,"Category:People from Evanston, Illinois"
53316933,14,"Category:People from Fairbury, Illinois"
39339128,14,"Category:People from Fairmont City, Illinois"
53232961,14,"Category:People from Farmer City, Illinois"
53263977,14,"Category:People from Farmington, Illinois"
53214227,14,"Category:People from Flora, Illinois"
9531475,14,"Category:People from Freeport, Illinois"
53399461,14,"Category:People from Fulton, Illinois"
12777578,14,"Category:People from Galena, Illinois"
33501087,14,"Category:People from Galesburg, Illinois"
30954628,14,"Category:People from Galva, Illinois"
30955200,14,"Category:People from Geneseo, Illinois"
50323300,14,"Category:People from Geneva, Illinois"
53395960,14,"Category:People from Georgetown, Illinois"
53253547,14,"Category:People from Gibson City, Illinois"
53317793,14,"Category:People from Gillespie, Illinois"
53317899,14,"Category:People from Girard, Illinois"
53374135,14,"Category:People from Golconda, Illinois"
53374488,14,"Category:People from Granville, Illinois"
53399102,14,"Category:People from Grayville, Illinois"
57734609,14,"Category:People from Greenfield, Illinois"
53373976,14,"Category:People from Griggsville, Illinois"
53276690,14,"Category:People from Hamilton, Illinois"
53374371,14,"Category:People from Hennepin, Illinois"
53381084,14,"Category:People from Harrisburg, Illinois"
53331512,14,"Category:People from Harvard, Illinois"
10504542,14,"Category:People from Harvey, Illinois"
53321312,14,"Category:People from Havana, Illinois"
53321184,14,"Category:People from Henry, Illinois"
53401668,14,"Category:People from Herrin, Illinois"
53319236,14,"Category:People from Highland, Illinois"
10527680,14,"Category:People from Highland Park, Illinois"
53309136,14,"Category:People from Highwood, Illinois"
53352869,14,"Category:People from Hillsboro, Illinois"
17373668,14,"Category:People from Jacksonville, Illinois"
53282966,14,"Category:People from Jerseyville, Illinois"
10545612,14,"Category:People from Joliet, Illinois"
5565370,14,"Category:People from Kankakee, Illinois"
27904873,14,"Category:People from Kewanee, Illinois"
53214671,14,"Category:People from Keyesport, Illinois"
33941013,14,"Category:People from Knoxville, Illinois"
53321173,14,"Category:People from Lacon, Illinois"
10527427,14,"Category:People from Lake Forest, Illinois"
31330000,14,"Category:People from LaSalle, Illinois"
53313829,14,"Category:People from Lawrenceville, Illinois"
53385151,14,"Category:People from Lebanon, Illinois"
53255523,14,"Category:People from Lewistown, Illinois"
40795479,14,"Category:People from Lincoln, Illinois"
53352694,14,"Category:People from Litchfield, Illinois"
18942263,14,"Category:People from Lockport, Illinois"
53124797,14,"Category:People from Loves Park, Illinois"
10546123,14,"Category:People from Macomb, Illinois"
39339241,14,"Category:People from Madison, Illinois"
53340168,14,"Category:People from Marengo, Illinois"
10534992,14,"Category:People from Marion, Illinois"
5565404,14,"Category:People from Markham, Illinois"
31330991,14,"Category:People from Marseilles, Illinois"
53214062,14,"Category:People from Marshall, Illinois"
53321379,14,"Category:People from Mason City, Illinois"
20369552,14,"Category:People from Mattoon, Illinois"
53331691,14,"Category:People from McHenry, Illinois"
53267153,14,"Category:People from McLeansboro, Illinois"
31330104,14,"Category:People from Mendota, Illinois"
41686375,14,"Category:People from Metropolis, Illinois"
53402888,14,"Category:People from Minonk, Illinois"
10544272,14,"Category:People from Moline, Illinois"
53298351,14,"Category:People from Momence, Illinois"
11354950,14,"Category:People from Monmouth, Illinois"
53373664,14,"Category:People from Monticello, Illinois"
53266769,14,"Category:People from Morris, Illinois"
53399170,14,"Category:People from Morrison, Illinois"
53374214,14,"Category:People from Mound City, Illinois"
53396131,14,"Category:People from Mount Carmel, Illinois"
40191285,14,"Category:People from Mount Carroll, Illinois"
53317954,14,"Category:People from Mount Olive, Illinois"
53202427,14,"Category:People from Mount Sterling, Illinois"
53280252,14,"Category:People from Mount Vernon, Illinois"
53278207,14,"Category:People from Murphysboro, Illinois"
10764932,14,"Category:People from Naperville, Illinois"
53396688,14,"Category:People from Nashville, Illinois"
53278336,14,"Category:People from Newton, Illinois"
53353117,14,"Category:People from Nokomis, Illinois"
53309323,14,"Category:People from North Chicago, Illinois"
25898780,14,"Category:People from Northlake, Illinois"
25899091,14,"Category:People from Oak Forest, Illinois"
8573862,14,"Category:People from Oak Park, Illinois"
53223385,14,"Category:People from Oakland, Illinois"
31329907,14,"Category:People from Oglesby, Illinois"
53379097,14,"Category:People from Olney, Illinois"
53300334,14,"Category:People from Oneida, Illinois"
53365822,14,"Category:People from Oregon, Illinois"
53299865,14,"Category:People from Oswego, Illinois"
27421782,14,"Category:People from Ottawa, Illinois"
40308634,14,"Category:People from Palos Heights, Illinois"
53229553,14,"Category:People from Palos Hills, Illinois"
53213767,14,"Category:People from Pana, Illinois"
40387510,14,"Category:People from Paris, Illinois"
10544075,14,"Category:People from Park Ridge, Illinois"
53253616,14,"Category:People from Paxton, Illinois"
53392260,14,"Category:People from Pekin, Illinois"
5565528,14,"Category:People from Peoria, Illinois"
31329916,14,"Category:People from Peru, Illinois"
53351741,14,"Category:People from Petersburg, Illinois"
53372705,14,"Category:People from Pinckneyville, Illinois"
53373839,14,"Category:People from Pittsfield, Illinois"
53299708,14,"Category:People from Plano, Illinois"
53365642,14,"Category:People from Polo, Illinois"
53316768,14,"Category:People from Pontiac, Illinois"
10638483,14,"Category:People from Princeton, Illinois"
53399419,14,"Category:People from Prophetstown, Illinois"
53231721,14,"Category:People from Prospect Heights, Illinois"
7693429,14,"Category:People from Quincy, Illinois"
53378821,14,"Category:People from Red Bud, Illinois"
53232383,14,"Category:People from Robinson, Illinois"
11574446,14,"Category:People from Rochelle, Illinois"
53399369,14,"Category:People from Rock Falls, Illinois"
15923399,14,"Category:People from Rock Island, Illinois"
5552353,14,"Category:People from Rockford, Illinois"
30717024,14,"Category:People from Rolling Meadows, Illinois"
53382726,14,"Category:People from Rushville, Illinois"
33620463,14,"Category:People from Salem, Illinois"
41460241,14,"Category:People from Sandwich, Illinois"
53203029,14,"Category:People from Savanna, Illinois"
53266148,14,"Category:People from Shawneetown, Illinois"
53382902,14,"Category:People from Shelbyville, Illinois"
53378939,14,"Category:People from Sparta, Illinois"
53202551,14,"Category:People from Spring Valley, Illinois"
5565609,14,"Category:People from Springfield, Illinois"
33932537,14,"Category:People from St. Charles, Illinois"
53317864,14,"Category:People from Staunton, Illinois"
53399202,14,"Category:People from Sterling, Illinois"
20195414,14,"Category:People from Streator, Illinois"
53353535,14,"Category:People from Sullivan, Illinois"
