pageid,ns,title
47690908,14,Category:Iowa politicians by city
51686602,14,"Category:People from Ackley, Iowa"
44457077,14,"Category:People from Adel, Iowa"
44542181,14,"Category:People from Ainsworth, Iowa"
44519360,14,"Category:People from Albia, Iowa"
44501480,14,"Category:People from Algona, Iowa"
42491186,14,"Category:People from Alton, Iowa"
36492531,14,"Category:People from Altoona, Iowa"
5566406,14,"Category:People from Ames, Iowa"
44499748,14,"Category:People from Anamosa, Iowa"
34448150,14,"Category:People from Ankeny, Iowa"
44441885,14,"Category:People from Atlantic, Iowa"
44440005,14,"Category:People from Audubon, Iowa"
44440212,14,"Category:People from Belle Plaine, Iowa"
30958161,14,"Category:People from Bettendorf, Iowa"
44541755,14,"Category:People from Birmingham, Iowa"
44459699,14,"Category:People from Bloomfield, Iowa"
30958384,14,"Category:People from Blue Grass, Iowa"
24688834,14,"Category:People from Boone, Iowa"
47952844,14,"Category:People from Boyden, Iowa"
44480343,14,"Category:People from Britt, Iowa"
13928421,14,"Category:People from Burlington, Iowa"
44441768,14,"Category:People from Carroll, Iowa"
44469342,14,"Category:People from Cascade, Iowa"
29024926,14,"Category:People from Cedar Falls, Iowa"
5566451,14,"Category:People from Cedar Rapids, Iowa"
44439533,14,"Category:People from Centerville, Iowa"
44508916,14,"Category:People from Chariton, Iowa"
44470928,14,"Category:People from Charles City, Iowa"
35003080,14,"Category:People from Cherokee, Iowa"
29825228,14,"Category:People from Clarinda, Iowa"
44545721,14,"Category:People from Clarion, Iowa"
44445094,14,"Category:People from Clear Lake, Iowa"
34450231,14,"Category:People from Clinton, Iowa"
44497418,14,"Category:People from Colfax, Iowa"
44508623,14,"Category:People from Columbus Junction, Iowa"
44437986,14,"Category:People from Corning, Iowa"
44542237,14,"Category:People from Corydon, Iowa"
20611864,14,"Category:People from Council Bluffs, Iowa"
44490975,14,"Category:People from Cresco, Iowa"
44539204,14,"Category:People from Creston, Iowa"
5566495,14,"Category:People from Davenport, Iowa"
44026314,14,"Category:People from Decorah, Iowa"
44456334,14,"Category:People from Denison, Iowa"
5566526,14,"Category:People from Des Moines, Iowa"
44456091,14,"Category:People from DeWitt, Iowa"
51686630,14,"Category:People from Dows, Iowa"
5566564,14,"Category:People from Dubuque, Iowa"
44469195,14,"Category:People from Dyersville, Iowa"
44545940,14,"Category:People from Eagle Grove, Iowa"
36641361,14,"Category:People from Eddyville, Iowa"
44480421,14,"Category:People from Eldora, Iowa"
44455171,14,"Category:People from Elkader, Iowa"
44529121,14,"Category:People from Emmetsburg, Iowa"
44469263,14,"Category:People from Epworth, Iowa"
44470124,14,"Category:People from Estherville, Iowa"
34923890,14,"Category:People from Fairfield, Iowa"
29228947,14,"Category:People from Forest City, Iowa"
30928180,14,"Category:People from Fort Dodge, Iowa"
44501665,14,"Category:People from Fort Madison, Iowa"
44480220,14,"Category:People from Garner, Iowa"
44518252,14,"Category:People from Glenwood, Iowa"
44436790,14,"Category:People from Greenfield, Iowa"
34012378,14,"Category:People from Grinnell, Iowa"
44479311,14,"Category:People from Grundy Center, Iowa"
44479427,14,"Category:People from Guthrie Center, Iowa"
53790477,14,"Category:People from Guttenberg, Iowa"
44475879,14,"Category:People from Hampton, Iowa"
44537934,14,"Category:People from Harlan, Iowa"
42484669,14,"Category:People from Hawarden, Iowa"
44508339,14,"Category:People from Hiawatha, Iowa"
42119074,14,"Category:People from Hull, Iowa"
44491092,14,"Category:People from Humboldt, Iowa"
44491259,14,"Category:People from Ida Grove, Iowa"
44441245,14,"Category:People from Independence, Iowa"
44541819,14,"Category:People from Indianola, Iowa"
5566590,14,"Category:People from Iowa City, Iowa"
44480533,14,"Category:People from Iowa Falls, Iowa"
40480032,14,"Category:People from Janesville, Iowa"
44478674,14,"Category:People from Jefferson, Iowa"
44530196,14,"Category:People from Jesup, Iowa"
44530553,14,"Category:People from Johnston, Iowa"
13216625,14,"Category:People from Keokuk, Iowa"
44541701,14,"Category:People from Keosauqua, Iowa"
44501444,14,"Category:People from Keota, Iowa"
44514550,14,"Category:People from Knoxville, Iowa"
44440767,14,"Category:People from La Porte City, Iowa"
44542389,14,"Category:People from Lake Mills, Iowa"
44461364,14,"Category:People from Lamoni, Iowa"
44530491,14,"Category:People from Laurens, Iowa"
44537865,14,"Category:People from Le Claire, Iowa"
41554901,14,"Category:People from Le Grand, Iowa"
44530265,14,"Category:People from Le Mars, Iowa"
51727154,14,"Category:People from Lenox, Iowa"
44461640,14,"Category:People from Leon, Iowa"
44490731,14,"Category:People from Logan, Iowa"
44455753,14,"Category:People from Lost Nation, Iowa"
44465912,14,"Category:People from Manchester, Iowa"
44519319,14,"Category:People from Mapleton, Iowa"
20055483,14,"Category:People from Maquoketa, Iowa"
44496109,14,"Category:People from Marengo, Iowa"
34478229,14,"Category:People from Marion, Iowa"
34463279,14,"Category:People from Marshalltown, Iowa"
34442084,14,"Category:People from Mason City, Iowa"
44455276,14,"Category:People from McGregor, Iowa"
44532356,14,"Category:People from Montezuma, Iowa"
44499776,14,"Category:People from Monticello, Iowa"
44439801,14,"Category:People from Moulton, Iowa"
44490784,14,"Category:People from Mount Pleasant, Iowa"
44502460,14,"Category:People from Mount Vernon, Iowa"
44522136,14,"Category:People from Muscatine, Iowa"
44538826,14,"Category:People from Nevada, Iowa"
44445986,14,"Category:People from New Hampton, Iowa"
44496365,14,"Category:People from Newton, Iowa"
44926080,14,"Category:People from Nora Springs, Iowa"
39468862,14,"Category:People from North English, Iowa"
