pageid,ns,title
28882303,14,Category:Massachusetts politicians by city
53996587,14,"Category:People from Agawam, Massachusetts"
42510526,14,"Category:People from Amesbury, Massachusetts"
25835623,14,"Category:People from Attleboro, Massachusetts"
5718651,14,"Category:People from Barnstable, Massachusetts"
46831202,14,"Category:People from Berkley, Massachusetts"
28238625,14,"Category:People from Beverly, Massachusetts"
13522230,14,Category:People from Boston
13822189,14,"Category:People from Braintree, Massachusetts"
24915919,14,"Category:People from Bridgewater, Massachusetts"
21110059,14,"Category:People from Brockton, Massachusetts"
7154885,14,"Category:People from Cambridge, Massachusetts"
28661185,14,"Category:People from Chelsea, Massachusetts"
32644098,14,"Category:People from Chicopee, Massachusetts"
48106912,14,"Category:People from Easthampton, Massachusetts"
29204879,14,"Category:People from Everett, Massachusetts"
46753409,14,"Category:People from Fairhaven, Massachusetts"
15882644,14,"Category:People from Fall River, Massachusetts"
22367365,14,"Category:People from Fitchburg, Massachusetts"
33600917,14,"Category:People from Franklin, Massachusetts"
29473061,14,"Category:People from Gardner, Massachusetts"
9157887,14,"Category:People from Gloucester, Massachusetts"
29448991,14,"Category:People from Greenfield, Massachusetts"
12000139,14,"Category:People from Haverhill, Massachusetts"
31479702,14,"Category:People from Holyoke, Massachusetts"
14004501,14,"Category:People from Lawrence, Massachusetts"
29697348,14,"Category:People from Leominster, Massachusetts"
16112996,14,"Category:People from Lowell, Massachusetts"
7508950,14,"Category:People from Lynn, Massachusetts"
17585116,14,"Category:People from Malden, Massachusetts"
51802038,14,"Category:People from Mansfield, Massachusetts"
31244453,14,"Category:People from Marlborough, Massachusetts"
16112834,14,"Category:People from Martha's Vineyard, Massachusetts"
15126553,14,"Category:People from Medford, Massachusetts"
20058120,14,"Category:People from Melrose, Massachusetts"
32598189,14,"Category:People from Merrimac, Massachusetts"
16180278,14,"Category:People from Methuen, Massachusetts"
18151467,14,"Category:People from New Bedford, Massachusetts"
22553914,14,"Category:People from Newburyport, Massachusetts"
24217153,14,"Category:People from Newton, Massachusetts"
22902913,14,"Category:People from North Adams, Massachusetts"
43443544,14,"Category:People from North Attleborough, Massachusetts"
10137654,14,"Category:People from Northampton, Massachusetts"
23228247,14,"Category:People from Peabody, Massachusetts"
5748433,14,"Category:People from Pittsfield, Massachusetts"
16428214,14,"Category:People from Quincy, Massachusetts"
16110959,14,"Category:People from Randolph, Massachusetts"
31244543,14,"Category:People from Revere, Massachusetts"
15483508,14,"Category:People from Salem, Massachusetts"
23212050,14,"Category:People from Somerville, Massachusetts"
5748528,14,"Category:People from Springfield, Massachusetts"
32022578,14,"Category:People from Sutton, Massachusetts"
10275537,14,"Category:People from Taunton, Massachusetts"
29204855,14,"Category:People from Waltham, Massachusetts"
19795452,14,"Category:People from Watertown, Massachusetts"
29645812,14,"Category:People from West Springfield, Massachusetts"
31146290,14,"Category:People from Westfield, Massachusetts"
21892043,14,"Category:People from Weymouth, Massachusetts"
26158047,14,"Category:People from Woburn, Massachusetts"
5748621,14,"Category:People from Worcester, Massachusetts"
