pageid,ns,title
55650770,14,Category:Minnesota politicians by city
54239622,14,"Category:People from Ada, Minnesota"
54239542,14,"Category:People from Adrian, Minnesota"
27376617,14,"Category:People from Aitkin, Minnesota"
54292078,14,"Category:People from Albany, Minnesota"
54205504,14,"Category:People from Albert Lea, Minnesota"
54199965,14,"Category:People from Alexandria, Minnesota"
54164548,14,"Category:People from Andover, Minnesota"
40499211,14,"Category:People from Anoka, Minnesota"
54193624,14,"Category:People from Apple Valley, Minnesota"
54294784,14,"Category:People from Appleton, Minnesota"
54256212,14,"Category:People from Arden Hills, Minnesota"
29229923,14,"Category:People from Aurora, Minnesota"
29245134,14,"Category:People from Austin, Minnesota"
54219430,14,"Category:People from Baudette, Minnesota"
54274162,14,"Category:People from Becker, Minnesota"
54266180,14,"Category:People from Belle Plaine, Minnesota"
29227000,14,"Category:People from Bemidji, Minnesota"
54294479,14,"Category:People from Benson, Minnesota"
54263519,14,"Category:People from Bird Island, Minnesota"
27393493,14,"Category:People from Blaine, Minnesota"
9118075,14,"Category:People from Bloomington, Minnesota"
54200680,14,"Category:People from Blue Earth, Minnesota"
27376458,14,"Category:People from Bovey, Minnesota"
20521631,14,"Category:People from Braham, Minnesota"
27377167,14,"Category:People from Brainerd, Minnesota"
42188244,14,"Category:People from Breckenridge, Minnesota"
54208745,14,"Category:People from Brooklyn Center, Minnesota"
21309727,14,"Category:People from Brooklyn Park, Minnesota"
31228893,14,"Category:People from Browerville, Minnesota"
54295630,14,"Category:People from Browns Valley, Minnesota"
29245608,14,"Category:People from Brownsville, Minnesota"
54312822,14,"Category:People from Buffalo, Minnesota"
32940443,14,"Category:People from Burnsville, Minnesota"
29245724,14,"Category:People from Caledonia, Minnesota"
54215919,14,"Category:People from Cambridge, Minnesota"
54176145,14,"Category:People from Cass Lake, Minnesota"
51001417,14,"Category:People from Champlin, Minnesota"
21019737,14,"Category:People from Chanhassen, Minnesota"
54168595,14,"Category:People from Chaska, Minnesota"
31225052,14,"Category:People from Chatfield, Minnesota"
27374935,14,"Category:People from Chisholm, Minnesota"
54164793,14,"Category:People from Circle Pines, Minnesota"
21368394,14,"Category:People from Cloquet, Minnesota"
27311152,14,"Category:People from Cokato, Minnesota"
27376305,14,"Category:People from Coleraine, Minnesota"
54164755,14,"Category:People from Columbia Heights, Minnesota"
54164640,14,"Category:People from Coon Rapids, Minnesota"
54303759,14,"Category:People from Cottage Grove, Minnesota"
48066321,14,"Category:People from Crookston, Minnesota"
27377005,14,"Category:People from Crosby, Minnesota"
29704958,14,"Category:People from Crystal, Minnesota"
30787148,14,"Category:People from Dawson, Minnesota"
54215207,14,"Category:People from Deephaven, Minnesota"
21020453,14,"Category:People from Dennison, Minnesota"
27342097,14,"Category:People from Detroit Lakes, Minnesota"
31222040,14,"Category:People from Dodge Center, Minnesota"
6108646,14,"Category:People from Duluth, Minnesota"
32734200,14,"Category:People from Eagan, Minnesota"
48068259,14,"Category:People from East Grand Forks, Minnesota"
21309384,14,"Category:People from Eden Prairie, Minnesota"
28844667,14,"Category:People from Eden Valley, Minnesota"
21309348,14,"Category:People from Edina, Minnesota"
54206664,14,"Category:People from Elbow Lake, Minnesota"
27312794,14,"Category:People from Elk River, Minnesota"
30786602,14,"Category:People from Ely, Minnesota"
29229860,14,"Category:People from Eveleth, Minnesota"
51002899,14,"Category:People from Excelsior, Minnesota"
54244399,14,"Category:People from Eyota, Minnesota"
54229259,14,"Category:People from Fairmont, Minnesota"
54256091,14,"Category:People from Falcon Heights, Minnesota"
23649735,14,"Category:People from Faribault, Minnesota"
54194096,14,"Category:People from Farmington, Minnesota"
29228320,14,"Category:People from Fergus Falls, Minnesota"
30958453,14,"Category:People from Forest Lake, Minnesota"
40507421,14,"Category:People from Fridley, Minnesota"
54238216,14,"Category:People from Fulda, Minnesota"
54205963,14,"Category:People from Geneva, Minnesota"
29229547,14,"Category:People from Gilbert, Minnesota"
54230581,14,"Category:People from Glencoe, Minnesota"
54252350,14,"Category:People from Glenwood, Minnesota"
29228559,14,"Category:People from Glyndon, Minnesota"
21309317,14,"Category:People from Golden Valley, Minnesota"
33798736,14,"Category:People from Graceville, Minnesota"
27375944,14,"Category:People from Grand Rapids, Minnesota"
21021600,14,"Category:People from Granite Falls, Minnesota"
54218727,14,"Category:People from Hallock, Minnesota"
54164509,14,"Category:People from Ham Lake, Minnesota"
54205468,14,"Category:People from Harmony, Minnesota"
54176583,14,"Category:People from Harris, Minnesota"
20004074,14,"Category:People from Hastings, Minnesota"
29228531,14,"Category:People from Hawley, Minnesota"
54199789,14,"Category:People from Hayfield, Minnesota"
54280219,14,"Category:People from Henderson, Minnesota"
54284954,14,"Category:People from Hermantown, Minnesota"
27310355,14,"Category:People from Hibbing, Minnesota"
54248643,14,"Category:People from Hinckley, Minnesota"
29228108,14,"Category:People from Hopkins, Minnesota"
29245554,14,"Category:People from Houston, Minnesota"
54230619,14,"Category:People from Hutchinson, Minnesota"
33743377,14,"Category:People from International Falls, Minnesota"
54194325,14,"Category:People from Inver Grove Heights, Minnesota"
54215989,14,"Category:People from Jackson, Minnesota"
54273819,14,"Category:People from Jordan, Minnesota"
27376359,14,"Category:People from Keewatin, Minnesota"
54206030,14,"Category:People from Kenyon, Minnesota"
43955168,14,"Category:People from La Crescent, Minnesota"
21105893,14,"Category:People from Lake City, Minnesota"
54307500,14,"Category:People from Lake Elmo, Minnesota"
54166050,14,"Category:People from Lake Park, Minnesota"
54193899,14,"Category:People from Lakeville, Minnesota"
54263409,14,"Category:People from Lamberton, Minnesota"
31224258,14,"Category:People from Lanesboro, Minnesota"
20521505,14,"Category:People from Le Sueur, Minnesota"
54164613,14,"Category:People from Lino Lakes, Minnesota"
54230710,14,"Category:People from Litchfield, Minnesota"
33676207,14,"Category:People from Little Falls, Minnesota"
54208714,14,"Category:People from Long Lake, Minnesota"
31229189,14,"Category:People from Long Prairie, Minnesota"
54265593,14,"Category:People from Luverne, Minnesota"
31224183,14,"Category:People from Mabel, Minnesota"
30787194,14,"Category:People from Madison, Minnesota"
54305330,14,"Category:People from Mahtomedi, Minnesota"
14965488,14,"Category:People from Mankato, Minnesota"
31221232,14,"Category:People from Mantorville, Minnesota"
54215056,14,"Category:People from Maple Grove, Minnesota"
54316829,14,"Category:People from Maple Lake, Minnesota"
51005480,14,"Category:People from Maple Plain, Minnesota"
30976805,14,"Category:People from Maplewood, Minnesota"
48064478,14,"Category:People from Marshall, Minnesota"
31230652,14,"Category:People from Melrose, Minnesota"
31229480,14,"Category:People from Menahga, Minnesota"
54194242,14,"Category:People from Mendota, Minnesota"
