pageid,ns,title
51733190,14,Category:New Jersey politicians by city
39533266,14,"Category:People from Absecon, New Jersey"
9005603,14,"Category:People from Asbury Park, New Jersey"
5718403,14,"Category:People from Atlantic City, New Jersey"
8743325,14,"Category:People from Bayonne, New Jersey"
36129599,14,"Category:People from Beverly, New Jersey"
31027651,14,"Category:People from Bordentown, New Jersey"
29451319,14,"Category:People from Bridgeton, New Jersey"
48600555,14,"Category:People from Brigantine, New Jersey"
25793304,14,"Category:People from Burlington, New Jersey"
7248070,14,"Category:People from Camden, New Jersey"
10256021,14,"Category:People from Cape May, New Jersey"
26782006,14,"Category:People from Clifton, New Jersey"
34531295,14,"Category:People from Denville, New Jersey"
6012087,14,"Category:People from East Orange, New Jersey"
39534450,14,"Category:People from Egg Harbor City, New Jersey"
8344821,14,"Category:People from Elizabeth, New Jersey"
30925148,14,"Category:People from Garfield, New Jersey"
39526150,14,"Category:People from Gloucester City, New Jersey"
9005462,14,"Category:People from Hackensack, New Jersey"
14749373,14,"Category:People from Hoboken, New Jersey"
16724231,14,"Category:People from Jersey City, New Jersey"
31007428,14,"Category:People from Lambertville, New Jersey"
28040717,14,"Category:People from Linden, New Jersey"
37589393,14,"Category:People from Linwood, New Jersey"
8807192,14,"Category:People from Long Branch, New Jersey"
39533249,14,"Category:People from Margate City, New Jersey"
31332172,14,"Category:People from Millville, New Jersey"
7540484,14,"Category:People from New Brunswick, New Jersey"
6104295,14,"Category:People from Newark, New Jersey"
39510551,14,"Category:People from North Wildwood, New Jersey"
39533222,14,"Category:People from Northfield, New Jersey"
5751705,14,"Category:People from Ocean City, New Jersey"
21978168,14,"Category:People from Passaic, New Jersey"
7278766,14,"Category:People from Paterson, New Jersey"
8800495,14,"Category:People from Perth Amboy, New Jersey"
8807003,14,"Category:People from Plainfield, New Jersey"
39533336,14,"Category:People from Pleasantville, New Jersey"
30976278,14,"Category:People from Rahway, New Jersey"
30961294,14,"Category:People from Salem, New Jersey"
47599873,14,"Category:People from Sea Isle City, New Jersey"
39533355,14,"Category:People from Somers Point, New Jersey"
8800919,14,"Category:People from South Amboy, New Jersey"
30924873,14,"Category:People from Summit, New Jersey"
52585351,14,"Category:People from Surf City, New Jersey"
5751779,14,"Category:People from Trenton, New Jersey"
16662955,14,"Category:People from Union City, New Jersey"
36545472,14,"Category:People from Ventnor City, New Jersey"
5751821,14,"Category:People from Vineland, New Jersey"
24831053,14,"Category:People from Wildwood, New Jersey"
12299717,14,"Category:People from Woodbury, New Jersey"
