pageid,ns,title
28882271,14,Category:Pennsylvania politicians by city
21729677,14,"Category:People from Aliquippa, Pennsylvania"
8733090,14,"Category:People from Allentown, Pennsylvania"
5717436,14,"Category:People from Altoona, Pennsylvania"
7789854,14,"Category:People from Beaver Falls, Pennsylvania"
13078324,14,"Category:People from Bethlehem, Pennsylvania"
9500888,14,"Category:People from Bradford, Pennsylvania"
31297727,14,"Category:People from Butler, Pennsylvania"
40757149,14,"Category:People from Carbondale, Pennsylvania"
31190233,14,"Category:People from Chester, Pennsylvania"
17546674,14,"Category:People from Clairton, Pennsylvania"
30954457,14,"Category:People from Connellsville, Pennsylvania"
57308108,14,"Category:People from Cornwall, Pennsylvania"
28867951,14,"Category:People from Corry, Pennsylvania"
33826499,14,"Category:People from DuBois, Pennsylvania"
33663954,14,"Category:People from Duquesne, Pennsylvania"
24052881,14,"Category:People from Easton, Pennsylvania"
5737912,14,"Category:People from Erie, Pennsylvania"
45082575,14,"Category:People from Farrell, Pennsylvania"
52725116,14,"Category:People from Fox Chapel, Pennsylvania"
33659774,14,"Category:People from Franklin, Pennsylvania"
23267128,14,"Category:People from Greensburg, Pennsylvania"
6840081,14,"Category:People from Harrisburg, Pennsylvania"
26690205,14,"Category:People from Hazleton, Pennsylvania"
40453034,14,"Category:People from Jeannette, Pennsylvania"
5758793,14,"Category:People from Johnstown, Pennsylvania"
47895178,14,"Category:People from Kutztown, Pennsylvania"
5758840,14,"Category:People from Lancaster, Pennsylvania"
31495402,14,"Category:People from Latrobe, Pennsylvania"
5758876,14,"Category:People from Lebanon, Pennsylvania"
17546084,14,"Category:People from McKeesport, Pennsylvania"
33658341,14,"Category:People from Meadville, Pennsylvania"
58069916,14,"Category:People from Monaca, Pennsylvania"
31486585,14,"Category:People from Monessen, Pennsylvania"
33709379,14,"Category:People from Monongahela, Pennsylvania"
16283605,14,"Category:People from Mt. Lebanon, Pennsylvania"
40747462,14,"Category:People from Nanticoke, Pennsylvania"
58069853,14,"Category:People from New Brighton, Pennsylvania"
33667208,14,"Category:People from New Castle, Pennsylvania"
40286983,14,"Category:People from New Kensington, Pennsylvania"
33789333,14,"Category:People from Oil City, Pennsylvania"
22131501,14,Category:People from Philadelphia
22133554,14,Category:People from Pittsburgh
40747625,14,"Category:People from Pittston, Pennsylvania"
8809690,14,"Category:People from Pottsville, Pennsylvania"
5759052,14,"Category:People from Reading, Pennsylvania"
58069196,14,"Category:People from Rochester, Pennsylvania"
6801708,14,"Category:People from Scranton, Pennsylvania"
21627105,14,"Category:People from Sharon, Pennsylvania"
58475634,14,"Category:People from St. Marys, Pennsylvania"
33658444,14,"Category:People from Titusville, Pennsylvania"
6352074,14,"Category:People from Uniontown, Pennsylvania"
57823942,14,"Category:People from Vandergrift, Pennsylvania"
58200520,14,"Category:People from Warren, Pennsylvania"
31497391,14,"Category:People from Washington, Pennsylvania"
13814166,14,"Category:People from Wilkes-Barre, Pennsylvania"
5759401,14,"Category:People from Williamsport, Pennsylvania"
6190122,14,"Category:People from York, Pennsylvania"
