pageid,ns,title
55650665,14,Category:South Carolina politicians by city
30973889,14,"Category:People from Abbeville, South Carolina"
52411865,14,"Category:People from Aiken, South Carolina"
5717520,14,"Category:People from Anderson, South Carolina"
57687207,14,"Category:People from Bamberg, South Carolina"
57687914,14,"Category:People from Barnwell, South Carolina"
26104213,14,"Category:People from Beaufort, South Carolina"
30982735,14,"Category:People from Belton, South Carolina"
31262069,14,"Category:People from Bennettsville, South Carolina"
57746906,14,"Category:People from Bishopville, South Carolina"
31959310,14,"Category:People from Camden, South Carolina"
57750770,14,"Category:People from Cayce, South Carolina"
5733842,14,"Category:People from Charleston, South Carolina"
32251907,14,"Category:People from Chester, South Carolina"
22886528,14,"Category:People from Clemson, South Carolina"
57744729,14,"Category:People from Clinton, South Carolina"
5736429,14,"Category:People from Columbia, South Carolina"
30931668,14,"Category:People from Conway, South Carolina"
47845785,14,"Category:People from Darlington, South Carolina"
57687458,14,"Category:People from Denmark, South Carolina"
57716670,14,"Category:People from Dillon, South Carolina"
20521005,14,"Category:People from Easley, South Carolina"
5738459,14,"Category:People from Florence, South Carolina"
57735903,14,"Category:People from Fountain Inn, South Carolina"
27333464,14,"Category:People from Gaffney, South Carolina"
25776963,14,"Category:People from Georgetown, South Carolina"
57292506,14,"Category:People from Goose Creek, South Carolina"
4182114,14,"Category:People from Greenville, South Carolina"
34869775,14,"Category:People from Greer, South Carolina"
57736233,14,"Category:People from Greenwood, South Carolina"
57744093,14,"Category:People from Hardeeville, South Carolina"
47845838,14,"Category:People from Hartsville, South Carolina"
26104120,14,"Category:People from Hilton Head, South Carolina"
57776757,14,"Category:People from Inman, South Carolina"
47846029,14,"Category:People from Lake City, South Carolina"
42097864,14,"Category:People from Lancaster, South Carolina"
57744575,14,"Category:People from Laurens, South Carolina"
30931717,14,"Category:People from Loris, South Carolina"
57714266,14,"Category:People from Manning, South Carolina"
57750846,14,"Category:People from Marion, South Carolina"
57736118,14,"Category:People from Mauldin, South Carolina"
39151840,14,"Category:People from Mount Pleasant, South Carolina"
57750937,14,"Category:People from Mullins, South Carolina"
5759671,14,"Category:People from Myrtle Beach, South Carolina"
57757127,14,"Category:People from Newberry, South Carolina"
57684082,14,"Category:People from North Augusta, South Carolina"
38683123,14,"Category:People from North Charleston, South Carolina"
30932233,14,"Category:People from North Myrtle Beach, South Carolina"
16455998,14,"Category:People from Orangeburg, South Carolina"
16973191,14,"Category:People from Pendleton, South Carolina"
57764407,14,"Category:People from Pickens, South Carolina"
33912345,14,"Category:People from Rock Hill, South Carolina"
33693974,14,"Category:People from Seneca, South Carolina"
57731321,14,"Category:People from Simpsonville, South Carolina"
5759734,14,"Category:People from Spartanburg, South Carolina"
36717865,14,"Category:People from Summerville, South Carolina"
5759798,14,"Category:People from Sumter, South Carolina"
57735815,14,"Category:People from Travelers Rest, South Carolina"
37743869,14,"Category:People from Union, South Carolina"
57714533,14,"Category:People from Walterboro, South Carolina"
57750544,14,"Category:People from West Columbia, South Carolina"
33693889,14,"Category:People from Westminster, South Carolina"
57773073,14,"Category:People from Woodruff, South Carolina"
33916145,14,"Category:People from York, South Carolina"
