pageid,ns,title
59051469,14,Category:Texas politicians by city
5652181,14,"Category:People from Abilene, Texas"
57144653,14,"Category:People from Albany, Texas"
57135518,14,"Category:People from Aledo, Texas"
15651086,14,"Category:People from Alice, Texas"
40285038,14,"Category:People from Allen, Texas"
57033916,14,"Category:People from Alpine, Texas"
57032817,14,"Category:People from Alvin, Texas"
16723053,14,"Category:People from Amarillo, Texas"
57041911,14,"Category:People from Anahuac, Texas"
57015094,14,"Category:People from Andrews, Texas"
31260442,14,"Category:People from Angleton, Texas"
51178076,14,"Category:People from Anna, Texas"
57111324,14,"Category:People from Anson, Texas"
57350395,14,"Category:People from Aransas Pass, Texas"
57020241,14,"Category:People from Archer City, Texas"
12295694,14,"Category:People from Arlington, Texas"
57145563,14,"Category:People from Arp, Texas"
57093717,14,"Category:People from Athens, Texas"
55147004,14,"Category:People from Atlanta, Texas"
5717798,14,"Category:People from Austin, Texas"
57135587,14,"Category:People from Azle, Texas"
57142090,14,"Category:People from Ballinger, Texas"
57021182,14,"Category:People from Bandera, Texas"
57169662,14,"Category:People from Bartlett, Texas"
57022294,14,"Category:People from Bastrop, Texas"
17620659,14,"Category:People from Baytown, Texas"
5551304,14,"Category:People from Beaumont, Texas"
33710661,14,"Category:People from Bedford, Texas"
57023360,14,"Category:People from Beeville, Texas"
57089754,14,"Category:People from Bellaire, Texas"
31260193,14,"Category:People from Bellville, Texas"
29344848,14,"Category:People from Belton, Texas"
57037343,14,"Category:People from Bertram, Texas"
42018569,14,"Category:People from Big Spring, Texas"
57024746,14,"Category:People from Blanco, Texas"
57112408,14,"Category:People from Boerne, Texas"
22373168,14,"Category:People from Bonham, Texas"
57173729,14,"Category:People from Boyd, Texas"
57122084,14,"Category:People from Brady, Texas"
31260377,14,"Category:People from Brazoria, Texas"
57146186,14,"Category:People from Breckenridge, Texas"
19267542,14,"Category:People from Brenham, Texas"
33931733,14,"Category:People from Bridge City, Texas"
57173808,14,"Category:People from Bridgeport, Texas"
57150575,14,"Category:People from Brownfield, Texas"
5628692,14,"Category:People from Brownsville, Texas"
12374479,14,"Category:People from Brownwood, Texas"
57068523,14,"Category:People from Bruceville-Eddy, Texas"
16694070,14,"Category:People from Bryan, Texas"
57093389,14,"Category:People from Buda, Texas"
57119038,14,"Category:People from Buffalo, Texas"
57047361,14,"Category:People from Bulverde, Texas"
37740026,14,"Category:People from Burleson, Texas"
57037354,14,"Category:People from Burnet, Texas"
57035136,14,"Category:People from Caldwell, Texas"
57139019,14,"Category:People from Calvert, Texas"
57125152,14,"Category:People from Cameron, Texas"
57093694,14,"Category:People from Canadian, Texas"
57157160,14,"Category:People from Canton, Texas"
57138205,14,"Category:People from Canyon, Texas"
57062904,14,"Category:People from Carrizo Springs, Texas"
15217831,14,"Category:People from Carrollton, Texas"
16920274,14,"Category:People from Carthage, Texas"
39710115,14,"Category:People from Cedar Hill, Texas"
57151926,14,"Category:People from Cedar Park, Texas"
57099566,14,"Category:People from Celeste, Texas"
26753545,14,"Category:People from Center, Texas"
57042741,14,"Category:People from Childress, Texas"
57086046,14,"Category:People from Chillicothe, Texas"
57024570,14,"Category:People from Cibolo, Texas"
57065483,14,"Category:People from Cisco, Texas"
57062947,14,"Category:People from Clarendon, Texas"
57138514,14,"Category:People from Clarksville, Texas"
57020685,14,"Category:People from Claude, Texas"
32993795,14,"Category:People from Cleburne, Texas"
31259033,14,"Category:People from Cleveland, Texas"
57024819,14,"Category:People from Clifton, Texas"
57043175,14,"Category:People from Coleman, Texas"
15219474,14,"Category:People from College Station, Texas"
