pageid,ns,title
55650473,14,Category:Washington (state) politicians by city
8166893,14,"Category:People from Aberdeen, Washington"
30943180,14,"Category:People from Anacortes, Washington"
37009374,14,"Category:People from Arlington, Washington"
33199343,14,"Category:People from Auburn, Washington"
34498980,14,"Category:People from Bainbridge Island, Washington"
27321103,14,"Category:People from Battle Ground, Washington"
16938092,14,"Category:People from Bellevue, Washington"
5718847,14,"Category:People from Bellingham, Washington"
59402934,14,"Category:People from Bonney Lake, Washington"
22861334,14,"Category:People from Bothell, Washington"
5721827,14,"Category:People from Bremerton, Washington"
59405255,14,"Category:People from Buckley, Washington"
32996104,14,"Category:People from Burien, Washington"
59406950,14,"Category:People from Burlington, Washington"
42836562,14,"Category:People from Camas, Washington"
59359739,14,"Category:People from Carnation, Washington"
59325228,14,"Category:People from Castle Rock, Washington"
14685756,14,"Category:People from Centralia, Washington"
25966495,14,"Category:People from Chehalis, Washington"
59318304,14,"Category:People from Chelan, Washington"
59303838,14,"Category:People from Clarkston, Washington"
59392343,14,"Category:People from Cle Elum, Washington"
59352757,14,"Category:People from Clyde Hill, Washington"
36139669,14,"Category:People from Colfax, Washington"
59365555,14,"Category:People from Covington, Washington"
59325171,14,"Category:People from Dayton, Washington"
59359248,14,"Category:People from Des Moines, Washington"
59325522,14,"Category:People from East Wenatchee, Washington"
34959069,14,"Category:People from Edmonds, Washington"
59245500,14,"Category:People from Ellensburg, Washington"
59338008,14,"Category:People from Elma, Washington"
37009414,14,"Category:People from Enumclaw, Washington"
37009408,14,"Category:People from Ephrata, Washington"
13038987,14,"Category:People from Everett, Washington"
33180282,14,"Category:People from Federal Way, Washington"
59405405,14,"Category:People from Friday Harbor, Washington"
51052718,14,"Category:People from Gig Harbor, Washington"
59392467,14,"Category:People from Goldendale, Washington"
16798642,14,"Category:People from Hoquiam, Washington"
59402393,14,"Category:People from Ilwaco, Washington"
36391638,14,"Category:People from Issaquah, Washington"
37009401,14,"Category:People from Kalama, Washington"
59325247,14,"Category:People from Kelso, Washington"
59361652,14,"Category:People from Kenmore, Washington"
5763454,14,"Category:People from Kennewick, Washington"
33192650,14,"Category:People from Kent, Washington"
30999607,14,"Category:People from Kirkland, Washington"
33862718,14,"Category:People from Lacey, Washington"
33203305,14,"Category:People from Lakewood, Washington"
59318234,14,"Category:People from Leavenworth, Washington"
5763529,14,"Category:People from Longview, Washington"
19603142,14,"Category:People from Lynden, Washington"
59409812,14,"Category:People from Lynnwood, Washington"
59370950,14,"Category:People from Maple Valley, Washington"
33192967,14,"Category:People from Marysville, Washington"
59359859,14,"Category:People from Medina, Washington"
36943140,14,"Category:People from Mercer Island, Washington"
59371149,14,"Category:People from Milton, Washington"
50578063,14,"Category:People from Monroe, Washington"
59333288,14,"Category:People from Montesano, Washington"
59392569,14,"Category:People from Morton, Washington"
30607924,14,"Category:People from Moses Lake, Washington"
5763570,14,"Category:People from Mount Vernon, Washington"
59410149,14,"Category:People from Mountlake Terrace, Washington"
59410020,14,"Category:People from Mukilteo, Washington"
59352247,14,"Category:People from Newcastle, Washington"
59360735,14,"Category:People from North Bend, Washington"
51765738,14,"Category:People from Oak Harbor, Washington"
59402057,14,"Category:People from Okanogan, Washington"
5763617,14,"Category:People from Olympia, Washington"
38634968,14,"Category:People from Omak, Washington"
59405201,14,"Category:People from Orting, Washington"
40488576,14,"Category:People from Othello, Washington"
33203626,14,"Category:People from Pasco, Washington"
26109552,14,"Category:People from Port Townsend, Washington"
59331602,14,"Category:People from Pomeroy, Washington"
19752762,14,"Category:People from Port Angeles, Washington"
54976855,14,"Category:People from Port Orchard, Washington"
59380672,14,"Category:People from Poulsbo, Washington"
59305505,14,"Category:People from Prosser, Washington"
40488681,14,"Category:People from Pullman, Washington"
33045999,14,"Category:People from Puyallup, Washington"
59402250,14,"Category:People from Raymond, Washington"
29723673,14,"Category:People from Redmond, Washington"
33181991,14,"Category:People from Renton, Washington"
8166088,14,"Category:People from Richland, Washington"
59324894,14,"Category:People from Ridgefield, Washington"
59301180,14,"Category:People from Ritzville, Washington"
59392406,14,"Category:People from Roslyn, Washington"
35958943,14,"Category:People from Sammamish, Washington"
59360994,14,"Category:People from SeaTac, Washington"
7367285,14,Category:People from Seattle
59406847,14,"Category:People from Sedro-Woolley, Washington"
19752330,14,"Category:People from Sequim, Washington"
55676828,14,"Category:People from Shelton, Washington"
33223788,14,"Category:People from Shoreline, Washington"
37515104,14,"Category:People from Snohomish, Washington"
59352106,14,"Category:People from Snoqualmie, Washington"
37009403,14,"Category:People from Soap Lake, Washington"
59402207,14,"Category:People from South Bend, Washington"
33192358,14,"Category:People from Spokane Valley, Washington"
16725236,14,"Category:People from Spokane, Washington"
59402799,14,"Category:People from Sumner, Washington"
7069650,14,"Category:People from Sunnyside, Washington"
16725311,14,"Category:People from Tacoma, Washington"
59402174,14,"Category:People from Tonasket, Washington"
46275298,14,"Category:People from Toppenish, Washington"
59361874,14,"Category:People from Tukwila, Washington"
59403014,14,"Category:People from University Place, Washington"
7446354,14,"Category:People from Vancouver, Washington"
22505666,14,"Category:People from Walla Walla, Washington"
59325093,14,"Category:People from Washougal, Washington"
5763717,14,"Category:People from Wenatchee, Washington"
33862751,14,"Category:People from Woodinville, Washington"
5763793,14,"Category:People from Yakima, Washington"
