pageid,ns,title
55644627,14,Category:Wisconsin politicians by city
58507430,14,"Category:People from Abbotsford, Wisconsin"
58647993,14,"Category:People from Algoma, Wisconsin"
58451952,14,"Category:People from Alma, Wisconsin"
58462564,14,"Category:People from Amery, Wisconsin"
58457559,14,"Category:People from Antigo, Wisconsin"
5717665,14,"Category:People from Appleton, Wisconsin"
32744768,14,"Category:People from Arcadia, Wisconsin"
21106688,14,"Category:People from Ashland, Wisconsin"
58564908,14,"Category:People from Augusta, Wisconsin"
40401108,14,"Category:People from Baraboo, Wisconsin"
58470600,14,"Category:People from Barron, Wisconsin"
29245016,14,"Category:People from Bayfield, Wisconsin"
38858690,14,"Category:People from Bayside, Wisconsin"
25812686,14,"Category:People from Beaver Dam, Wisconsin"
6826448,14,"Category:People from Beloit, Wisconsin"
33976705,14,"Category:People from Berlin, Wisconsin"
22037943,14,"Category:People from Black River Falls, Wisconsin"
58495357,14,"Category:People from Bloomer, Wisconsin"
38881367,14,"Category:People from Boscobel, Wisconsin"
58487171,14,"Category:People from Brillion, Wisconsin"
44626435,14,"Category:People from Brodhead, Wisconsin"
22929912,14,"Category:People from Brookfield, Wisconsin"
36807558,14,"Category:People from Burlington, Wisconsin"
38878752,14,"Category:People from Cazenovia, Wisconsin"
35152454,14,"Category:People from Cedarburg, Wisconsin"
58471086,14,"Category:People from Chetek, Wisconsin"
58484019,14,"Category:People from Chilton, Wisconsin"
37599451,14,"Category:People from Chippewa Falls, Wisconsin"
58986577,14,"Category:People from Clintonville, Wisconsin"
38861461,14,"Category:People from Colby, Wisconsin"
38868832,14,"Category:People from Columbus, Wisconsin"
58575060,14,"Category:People from Crandon, Wisconsin"
38878464,14,"Category:People from Cuba City, Wisconsin"
58698504,14,"Category:People from Cudahy, Wisconsin"
58470923,14,"Category:People from Cumberland, Wisconsin"
40399966,14,"Category:People from Darlington, Wisconsin"
52646735,14,"Category:People from De Pere, Wisconsin"
58982627,14,"Category:People from Delafield, Wisconsin"
58949534,14,"Category:People from Delavan, Wisconsin"
51121480,14,"Category:People from Denmark, Wisconsin"
58607663,14,"Category:People from Dodgeville, Wisconsin"
58467329,14,"Category:People from Durand, Wisconsin"
58939358,14,"Category:People from Eagle River, Wisconsin"
5737729,14,"Category:People from Eau Claire, Wisconsin"
22855752,14,"Category:People from Edgerton, Wisconsin"
58949894,14,"Category:People from Elkhorn, Wisconsin"
58643791,14,"Category:People from Elroy, Wisconsin"
58893893,14,"Category:People from Evansville, Wisconsin"
58535072,14,"Category:People from Fitchburg, Wisconsin"
5738522,14,"Category:People from Fond du Lac, Wisconsin"
58627509,14,"Category:People from Fort Atkinson, Wisconsin"
58478496,14,"Category:People from Fountain City, Wisconsin"
58544476,14,"Category:People from Fox Lake, Wisconsin"
58708188,14,"Category:People from Franklin, Milwaukee County, Wisconsin"
58930553,14,"Category:People from Galesville, Wisconsin"
58697836,14,"Category:People from Glendale, Wisconsin"
5747090,14,"Category:People from Green Bay, Wisconsin"
58604042,14,"Category:People from Green Lake, Wisconsin"
34330508,14,"Category:People from Greenfield, Wisconsin"
58506685,14,"Category:People from Greenwood, Wisconsin"
