pageid,ns,title
43566831,14,"Category:People from Aliceville, Alabama"
43581387,14,"Category:People from Ashland, Alabama"
52294989,14,"Category:People from Benton, Alabama"
52294292,14,"Category:People from Boligee, Alabama"
43561603,14,"Category:People from Butler, Alabama"
43566813,14,"Category:People from Carrollton, Alabama"
43548099,14,"Category:People from Clayton, Alabama"
43549950,14,"Category:People from Florala, Alabama"
43566701,14,"Category:People from Grove Hill, Alabama"
52300027,14,"Category:People from Killen, Alabama"
52303415,14,"Category:People from Louisville, Alabama"
32416297,14,"Category:People from Moundville, Alabama"
43550197,14,"Category:People from New Brockton, Alabama"
43566817,14,"Category:People from Pickensville, Alabama"
52300108,14,"Category:People from Rogersville, Alabama"
52945771,14,"Category:People from Semmes, Alabama"
30794661,14,"Category:People from Town Creek, Alabama"
