pageid,ns,title
14114232,14,Category:Lists of people by Connecticut municipalities
31245225,14,"Category:People from Ashford, Connecticut"
52776070,14,"Category:People from Avon, Connecticut"
52810793,14,"Category:People from Beacon Falls, Connecticut"
52782518,14,"Category:People from Berlin, Connecticut"
52810616,14,"Category:People from Bethany, Connecticut"
35054401,14,"Category:People from Bethel, Connecticut"
52794818,14,"Category:People from Bethlehem, Connecticut"
35058637,14,"Category:People from Bloomfield, Connecticut"
52850740,14,"Category:People from Bolton, Connecticut"
48080621,14,"Category:People from Bozrah, Connecticut"
52808704,14,"Category:People from Branford, Connecticut"
42866788,14,"Category:People from Brookfield, Connecticut"
52856036,14,"Category:People from Brooklyn, Connecticut"
52784925,14,"Category:People from Burlington, Connecticut"
31245105,14,"Category:People from Canterbury, Connecticut"
52778051,14,"Category:People from Canton, Connecticut"
31248911,14,"Category:People from Cheshire, Connecticut"
52804105,14,"Category:People from Chester, Connecticut"
28964281,14,"Category:People from Clinton, Connecticut"
40729038,14,"Category:People from Colchester, Connecticut"
31249597,14,"Category:People from Colebrook, Connecticut"
22433393,14,"Category:People from Cornwall, Connecticut"
33688796,14,"Category:People from Coventry, Connecticut"
52804198,14,"Category:People from Cromwell, Connecticut"
7398885,14,"Category:People from Darien, Connecticut"
31249826,14,"Category:People from Deep River, Connecticut"
30890441,14,"Category:People from Durham, Connecticut"
31253321,14,"Category:People from East Haddam, Connecticut"
31251813,14,"Category:People from East Hampton, Connecticut"
31165834,14,"Category:People from East Hartford, Connecticut"
52809183,14,"Category:People from East Haven, Connecticut"
48077167,14,"Category:People from East Lyme, Connecticut"
31248539,14,"Category:People from Eastford, Connecticut"
52767902,14,"Category:People from Easton, Connecticut"
52850050,14,"Category:People from Ellington, Connecticut"
52785610,14,"Category:People from Enfield, Connecticut"
31249717,14,"Category:People from Essex, Connecticut"
36468595,14,"Category:People from Fairfield, Connecticut"
40780972,14,"Category:People from Farmington, Connecticut"
52849434,14,"Category:People from Franklin, Connecticut"
24057518,14,"Category:People from Glastonbury, Connecticut"
52796112,14,"Category:People from Goshen, Connecticut"
31330332,14,"Category:People from Granby, Connecticut"
7061481,14,"Category:People from Greenwich, Connecticut"
48077763,14,"Category:People from Griswold, Connecticut"
31249036,14,"Category:People from Guilford, Connecticut"
31252445,14,"Category:People from Haddam, Connecticut"
22072207,14,"Category:People from Hamden, Connecticut"
48101882,14,"Category:People from Hampton, Connecticut"
52785297,14,"Category:People from Hartland, Connecticut"
52796014,14,"Category:People from Harwinton, Connecticut"
52850562,14,"Category:People from Hebron, Connecticut"
30697787,14,"Category:People from Kent, Connecticut"
31248410,14,"Category:People from Killingly, Connecticut"
31253499,14,"Category:People from Killingworth, Connecticut"
29006204,14,"Category:People from Lebanon, Connecticut"
52841674,14,"Category:People from Ledyard, Connecticut"
51664970,14,"Category:People from Lisbon, Connecticut"
13926761,14,"Category:People from Madison, Connecticut"
29006121,14,"Category:People from Mansfield, Connecticut"
52785545,14,"Category:People from Marlborough, Connecticut"
52809389,14,"Category:People from Middlebury, Connecticut"
52804018,14,"Category:People from Middlefield, Connecticut"
52758672,14,"Category:People from Monroe, Connecticut"
30809906,14,"Category:People from New Canaan, Connecticut"
52764481,14,"Category:People from New Fairfield, Connecticut"
37658208,14,"Category:People from New Hartford, Connecticut"
27005420,14,"Category:People from New Milford, Connecticut"
52768385,14,"Category:People from Newington, Connecticut"
52758277,14,"Category:People from Newtown, Connecticut"
52795487,14,"Category:People from Norfolk, Connecticut"
31248600,14,"Category:People from North Branford, Connecticut"
52809690,14,"Category:People from North Haven, Connecticut"
25041351,14,"Category:People from North Stonington, Connecticut"
33576826,14,"Category:People from Old Lyme, Connecticut"
31249099,14,"Category:People from Orange, Connecticut"
52809281,14,"Category:People from Oxford, Connecticut"
48102543,14,"Category:People from Plainfield, Connecticut"
34411681,14,"Category:People from Plainville, Connecticut"
52790452,14,"Category:People from Plymouth, Connecticut"
30809705,14,"Category:People from Pomfret, Connecticut"
31251850,14,"Category:People from Portland, Connecticut"
28964257,14,"Category:People from Preston, Connecticut"
52808663,14,"Category:People from Prospect, Connecticut"
31248492,14,"Category:People from Putnam, Connecticut"
52758426,14,"Category:People from Redding, Connecticut"
15446056,14,"Category:People from Ridgefield, Connecticut"
52785998,14,"Category:People from Rocky Hill, Connecticut"
33688228,14,"Category:People from Roxbury, Connecticut"
51664790,14,"Category:People from Salem, Connecticut"
20862323,14,"Category:People from Salisbury, Connecticut"
29006299,14,"Category:People from Scotland, Connecticut"
31254840,14,"Category:People from Seymour, Connecticut"
20724295,14,"Category:People from Sharon, Connecticut"
34189555,14,"Category:People from Sherman, Connecticut"
33923332,14,"Category:People from Simsbury, Connecticut"
52850791,14,"Category:People from Somers, Connecticut"
30682134,14,"Category:People from South Windsor, Connecticut"
35551388,14,"Category:People from Southbury, Connecticut"
52071007,14,"Category:People from Southington, Connecticut"
52849761,14,"Category:People from Sprague, Connecticut"
52850348,14,"Category:People from Stafford, Connecticut"
48104499,14,"Category:People from Sterling, Connecticut"
20864430,14,"Category:People from Stonington, Connecticut"
52756820,14,"Category:People from Stratford, Connecticut"
20851002,14,"Category:People from Suffield, Connecticut"
31248472,14,"Category:People from Thompson, Connecticut"
52850435,14,"Category:People from Tolland, Connecticut"
52757809,14,"Category:People from Trumbull, Connecticut"
52850894,14,"Category:People from Union, Connecticut"
31255092,14,"Category:People from Vernon, Connecticut"
30166336,14,"Category:People from Wallingford, Connecticut"
52799824,14,"Category:People from Warren, Connecticut"
45087644,14,"Category:People from Washington, Connecticut"
48078562,14,"Category:People from Waterford, Connecticut"
52799907,14,"Category:People from Watertown, Connecticut"
8975443,14,"Category:People from West Hartford, Connecticut"
31253556,14,"Category:People from Westbrook, Connecticut"
52758727,14,"Category:People from Weston, Connecticut"
7237022,14,"Category:People from Westport, Connecticut"
52851746,14,"Category:People from Willington, Connecticut"
6146982,14,"Category:People from Wilton, Connecticut"
24979727,14,"Category:People from Winchester, Connecticut"
29005932,14,"Category:People from Windham, Connecticut"
20851018,14,"Category:People from Windsor, Connecticut"
52786383,14,"Category:People from Windsor Locks, Connecticut"
31253976,14,"Category:People from Wolcott, Connecticut"
35183059,14,"Category:People from Woodbridge, Connecticut"
52795303,14,"Category:People from Woodbury, Connecticut"
31245059,14,"Category:People from Woodstock, Connecticut"
