pageid,ns,title
52924172,14,"Category:People from Bethany Beach, Delaware"
31320798,14,"Category:People from Bridgeville, Delaware"
52866303,14,"Category:People from Camden, Delaware"
52874980,14,"Category:People from Claymont, Delaware"
52870819,14,"Category:People from Clayton, Delaware"
52899858,14,"Category:People from Georgetown, Delaware"
52934434,14,"Category:People from Greenwood, Delaware"
52921616,14,"Category:People from Laurel, Delaware"
52875103,14,"Category:People from Middletown, Delaware"
52905308,14,"Category:People from Millsboro, Delaware"
52924005,14,"Category:People from Milton, Delaware"
31320880,14,"Category:People from Newport, Delaware"
52934109,14,"Category:People from Ocean View, Delaware"
52895413,14,"Category:People from Odessa, Delaware"
47870642,14,"Category:People from Smyrna, Delaware"
