pageid,ns,title
53129812,14,"Category:People from Belleair, Florida"
53015201,14,"Category:People from Century, Florida"
53045468,14,"Category:People from Greenville, Florida"
53028329,14,"Category:People from Groveland, Florida"
53118985,14,"Category:People from Gulf Stream, Florida"
53117670,14,"Category:People from Highland Beach, Florida"
53089455,14,"Category:People from Hilliard, Florida"
53155424,14,"Category:People from Hillsboro Beach, Florida"
52986036,14,"Category:People from Indialantic, Florida"
53134395,14,"Category:People from Interlachen, Florida"
53109521,14,"Category:People from Juno Beach, Florida"
36309908,14,"Category:People from Jupiter Island, Florida"
33603847,14,"Category:People from Jupiter, Florida"
53106785,14,"Category:People from Lantana, Florida"
53046192,14,"Category:People from Longboat Key, Florida"
53086963,14,"Category:People from Marathon, Florida"
53028242,14,"Category:People from Mayo, Florida"
52986169,14,"Category:People from Melbourne Beach, Florida"
53082490,14,"Category:People from Miami Lakes, Florida"
31305806,14,"Category:People from Micanopy, Florida"
53028541,14,"Category:People from Mount Dora, Florida"
42414553,14,"Category:People from Nokomis, Florida"
53109426,14,"Category:People from Ocean Ridge, Florida"
52935841,14,"Category:People from Orange Park, Florida"
52939665,14,"Category:People from Penney Farms, Florida"
53061261,14,"Category:People from Sewall's Point, Florida"
52996463,14,"Category:People from Southwest Ranches, Florida"
53084947,14,"Category:People from Surfside, Florida"
36309851,14,"Category:People from Windermere, Florida"
