pageid,ns,title
53669274,14,"Category:People from Abita Springs, Louisiana"
37005476,14,"Category:People from Amite City, Louisiana"
30895969,14,"Category:People from Arcadia, Louisiana"
53678881,14,"Category:People from Arnaudville, Louisiana"
53684956,14,"Category:People from Baldwin, Louisiana"
31276355,14,"Category:People from Ball, Louisiana"
49517520,14,"Category:People from Basile, Louisiana"
53569814,14,"Category:People from Benton, Louisiana"
53698346,14,"Category:People from Bernice, Louisiana"
33690640,14,"Category:People from Berwick, Louisiana"
53576772,14,"Category:People from Blanchard, Louisiana"
53659270,14,"Category:People from Cheneyville, Louisiana"
53594373,14,"Category:People from Clinton, Louisiana"
53579465,14,"Category:People from Columbia, Louisiana"
53700067,14,"Category:People from Cotton Valley, Louisiana"
30892790,14,"Category:People from Coushatta, Louisiana"
30997828,14,"Category:People from Delcambre, Louisiana"
53659888,14,"Category:People from Delhi, Louisiana"
53642529,14,"Category:People from Dubach, Louisiana"
30998522,14,"Category:People from Elizabeth, Louisiana"
31287790,14,"Category:People from Erath, Louisiana"
30998028,14,"Category:People from Farmerville, Louisiana"
9528168,14,"Category:People from Ferriday, Louisiana"
53699389,14,"Category:People from Franklinton, Louisiana"
53560826,14,"Category:People from Gibsland, Louisiana"
53677702,14,"Category:People from Gramercy, Louisiana"
53661818,14,"Category:People from Greensburg, Louisiana"
18678770,14,"Category:People from Gueydan, Louisiana"
30893789,14,"Category:People from Haughton, Louisiana"
53587646,14,"Category:People from Haynesville, Louisiana"
53587481,14,"Category:People from Homer, Louisiana"
39769888,14,"Category:People from Independence, Louisiana"
31481602,14,"Category:People from Iota, Louisiana"
31267338,14,"Category:People from Iowa, Louisiana"
53594888,14,"Category:People from Jackson, Louisiana"
53624404,14,"Category:People from Jena, Louisiana"
12704209,14,"Category:People from Jonesboro, Louisiana"
53579691,14,"Category:People from Jonesville, Louisiana"
8232993,14,"Category:People from Kentwood, Louisiana"
31272970,14,"Category:People from Lake Arthur, Louisiana"
53592808,14,"Category:People from Lake Providence, Louisiana"
53659174,14,"Category:People from Lecompte, Louisiana"
53588527,14,"Category:People from Logansport, Louisiana"
53673249,14,"Category:People from Lutcher, Louisiana"
31286865,14,"Category:People from Mamou, Louisiana"
31287912,14,"Category:People from Many, Louisiana"
53605338,14,"Category:People from Maringouin, Louisiana"
30998143,14,"Category:People from Marion, Louisiana"
53689661,14,"Category:People from Newellton, Louisiana"
53709278,14,"Category:People from Oak Grove, Louisiana"
31282641,14,"Category:People from Oberlin, Louisiana"
30893583,14,"Category:People from Plain Dealing, Louisiana"
53596603,14,"Category:People from Pollock, Louisiana"
53659549,14,"Category:People from Rayville, Louisiana"
53568220,14,"Category:People from Ringgold, Louisiana"
31323760,14,"Category:People from Sarepta, Louisiana"
53712538,14,"Category:People from St. Francisville, Louisiana"
53689495,14,"Category:People from St. Joseph, Louisiana"
53678986,14,"Category:People from Sunset, Louisiana"
30998264,14,"Category:People from Vinton, Louisiana"
53578342,14,"Category:People from Vivian, Louisiana"
53689832,14,"Category:People from Waterproof, Louisiana"
53624363,14,"Category:People from Welsh, Louisiana"
53605434,14,"Category:People from White Castle, Louisiana"
