pageid,ns,title
24915973,14,"Category:People from Abington, Massachusetts"
43601629,14,"Category:People from Acton, Massachusetts"
53977631,14,"Category:People from Acushnet, Massachusetts"
38009953,14,"Category:People from Adams, Massachusetts"
31146398,14,"Category:People from Alford, Massachusetts"
6440177,14,"Category:People from Amherst, Massachusetts"
13827527,14,"Category:People from Andover, Massachusetts"
57977089,14,"Category:People from Aquinnah, Massachusetts"
29638280,14,"Category:People from Arlington, Massachusetts"
43548839,14,"Category:People from Ashburnham, Massachusetts"
53992166,14,"Category:People from Ashfield, Massachusetts"
44584853,14,"Category:People from Ashland, Massachusetts"
33601988,14,"Category:People from Athol, Massachusetts"
29681356,14,"Category:People from Auburn, Massachusetts"
43538052,14,"Category:People from Avon, Massachusetts"
44585557,14,"Category:People from Ayer, Massachusetts"
33328352,14,"Category:People from Barre, Massachusetts"
30870546,14,"Category:People from Becket, Massachusetts"
39819796,14,"Category:People from Bedford, Massachusetts"
28843661,14,"Category:People from Belchertown, Massachusetts"
43538177,14,"Category:People from Bellingham, Massachusetts"
29723328,14,"Category:People from Belmont, Massachusetts"
33601803,14,"Category:People from Bernardston, Massachusetts"
32588400,14,"Category:People from Billerica, Massachusetts"
43567946,14,"Category:People from Blackstone, Massachusetts"
54000002,14,"Category:People from Blandford, Massachusetts"
32974112,14,"Category:People from Bolton, Massachusetts"
29492432,14,"Category:People from Bourne, Massachusetts"
44584872,14,"Category:People from Boxborough, Massachusetts"
31254538,14,"Category:People from Boxford, Massachusetts"
43611086,14,"Category:People from Boylston, Massachusetts"
29530260,14,"Category:People from Brewster, Massachusetts"
52890057,14,"Category:People from Brimfield, Massachusetts"
43548880,14,"Category:People from Brookfield, Massachusetts"
21465728,14,"Category:People from Brookline, Massachusetts"
53995807,14,"Category:People from Buckland, Massachusetts"
32609279,14,"Category:People from Burlington, Massachusetts"
32155117,14,"Category:People from Canton, Massachusetts"
54011552,14,"Category:People from Carver, Massachusetts"
53993930,14,"Category:People from Charlemont, Massachusetts"
43562189,14,"Category:People from Charlton, Massachusetts"
21304069,14,"Category:People from Chatham, Massachusetts"
33667834,14,"Category:People from Chelmsford, Massachusetts"
53969023,14,"Category:People from Cheshire, Massachusetts"
20724198,14,"Category:People from Chester, Massachusetts"
48184423,14,"Category:People from Chesterfield, Massachusetts"
53984484,14,"Category:People from Chilmark, Massachusetts"
14637718,14,"Category:People from Clinton, Massachusetts"
33601257,14,"Category:People from Cohasset, Massachusetts"
33601863,14,"Category:People from Colrain, Massachusetts"
11938202,14,"Category:People from Concord, Massachusetts"
53993365,14,"Category:People from Conway, Massachusetts"
48187350,14,"Category:People from Cummington, Massachusetts"
53968728,14,"Category:People from Dalton, Massachusetts"
20632538,14,"Category:People from Danvers, Massachusetts"
53977312,14,"Category:People from Dartmouth, Massachusetts"
25545090,14,"Category:People from Dedham, Massachusetts"
29495735,14,"Category:People from Dennis, Massachusetts"
53977274,14,"Category:People from Dighton, Massachusetts"
43573806,14,"Category:People from Douglas, Massachusetts"
33130681,14,"Category:People from Dover, Massachusetts"
