pageid,ns,title
43714420,14,"Category:People from Adams, New York"
43834130,14,"Category:People from Addison, New York"
43667681,14,"Category:People from Afton, New York"
43784360,14,"Category:People from Albion, Orleans County, New York"
43708265,14,"Category:People from Alexander, New York"
43637951,14,"Category:People from Alfred, New York"
43646554,14,"Category:People from Allegany, New York"
43682224,14,"Category:People from Amenia, New York"
33625494,14,"Category:People from Amherst, New York"
43675760,14,"Category:People from Andes, New York"
43637305,14,"Category:People from Angelica, New York"
43715509,14,"Category:People from Antwerp, New York"
43891132,14,"Category:People from Arcade, New York"
43869462,14,"Category:People from Argyle, New York"
43883909,14,"Category:People from Attica, New York"
43763499,14,"Category:People from Augusta, New York"
43729573,14,"Category:People from Avon, New York"
39451315,14,"Category:People from Babylon, New York"
43667629,14,"Category:People from Bainbridge, New York"
43818241,14,"Category:People from Ballston, New York"
54041641,14,"Category:People from Bangor, New York"
43833703,14,"Category:People from Bath, New York"
38661300,14,"Category:People from Bedford, New York"
43684300,14,"Category:People from Beekman, New York"
43708520,14,"Category:People from Bergen, New York"
43631611,14,"Category:People from Berne, New York"
20823939,14,"Category:People from Bethel, New York"
43629600,14,"Category:People from Bethlehem, New York"
39337158,14,"Category:People from Big Flats, New York"
20851221,14,"Category:People from Blooming Grove, New York"
43760700,14,"Category:People from Boonville, New York"
52741231,14,"Category:People from Bridgeport, New York"
53996398,14,"Category:People from Brighton, Franklin County, New York"
43741197,14,"Category:People from Brighton, Monroe County, New York"
43707692,14,"Category:People from Broadalbin, New York"
30939096,14,"Category:People from Brookhaven, New York"
43716958,14,"Category:People from Brownville, New York"
43648595,14,"Category:People from Brutus, New York"
20864467,14,"Category:People from Burlington, New York"
43664732,14,"Category:People from Busti, New York"
43797961,14,"Category:People from Butternuts, New York"
52725020,14,"Category:People from Byron, New York"
40401973,14,"Category:People from Cairo, New York"
43920596,14,"Category:People from Caledonia, New York"
43869600,14,"Category:People from Cambridge, New York"
30271627,14,"Category:People from Camden, New York"
20705779,14,"Category:People from Camillus, New York"
30832158,14,"Category:People from Canaan, New York"
43839727,14,"Category:People from Candor, New York"
43834249,14,"Category:People from Canisteo, New York"
40391489,14,"Category:People from Canton, New York"
43716610,14,"Category:People from Cape Vincent, New York"
43801383,14,"Category:People from Carmel, New York"
41597183,14,"Category:People from Castile, New York"
44006217,14,"Category:People from Champion, New York"
40399577,14,"Category:People from Champlain, New York"
53985630,14,"Category:People from Charlotte, New York"
51076135,14,"Category:People from Charlton, New York"
53996363,14,"Category:People from Chateaugay, New York"
43672436,14,"Category:People from Chatham, New York"
43665559,14,"Category:People from Chautauqua, New York"
43693635,14,"Category:People from Cheektowaga, New York"
34642707,14,"Category:People from Chemung, New York"
20862706,14,"Category:People from Cherry Valley, New York"
39337446,14,"Category:People from Chester, New York"
43743838,14,"Category:People from Chili, New York"
20705764,14,"Category:People from Cicero, New York"
43674930,14,"Category:People from Cincinnatus, New York"
43684789,14,"Category:People from Clarence, New York"
43789271,14,"Category:People from Clarendon, New York"
43741400,14,"Category:People from Clarkson, New York"
43814080,14,"Category:People from Clarkstown, New York"
42687340,14,"Category:People from Claverack, New York"
43766312,14,"Category:People from Clay, New York"
43717057,14,"Category:People from Clayton, New York"
43818116,14,"Category:People from Clifton Park, New York"
43760287,14,"Category:People from Clinton, Oneida County, New York"
43822160,14,"Category:People from Cobleskill, New York"
43838136,14,"Category:People from Cochecton, New York"
