pageid,ns,title
31027044,14,"Category:People from Ahoskie, North Carolina"
31002414,14,"Category:People from Ansonville, North Carolina"
58032770,14,"Category:People from Apex, North Carolina"
57973884,14,"Category:People from Bakersville, North Carolina"
57879994,14,"Category:People from Beaufort, North Carolina"
57251517,14,"Category:People from Beech Mountain, North Carolina"
10223642,14,"Category:People from Belhaven, North Carolina"
57943419,14,"Category:People from Benson, North Carolina"
57974506,14,"Category:People from Biscoe, North Carolina"
27324704,14,"Category:People from Black Mountain, North Carolina"
57878468,14,"Category:People from Blowing Rock, North Carolina"
57901666,14,"Category:People from Boiling Springs, North Carolina"
30919895,14,"Category:People from Bryson City, North Carolina"
57994034,14,"Category:People from Burgaw, North Carolina"
30938278,14,"Category:People from Burnsville, North Carolina"
30918213,14,"Category:People from Canton, North Carolina"
13512333,14,"Category:People from Carrboro, North Carolina"
57974598,14,"Category:People from Carthage, North Carolina"
23513035,14,"Category:People from Cary, North Carolina"
57883926,14,"Category:People from Catawba, North Carolina"
13510563,14,"Category:People from Chapel Hill, North Carolina"
30919974,14,"Category:People from Cherokee, North Carolina"
57943261,14,"Category:People from Clayton, North Carolina"
57926741,14,"Category:People from Clyde, North Carolina"
31027234,14,"Category:People from Como, North Carolina"
30928620,14,"Category:People from Cooleemee, North Carolina"
57968133,14,"Category:People from Cornelius, North Carolina"
57910966,14,"Category:People from Dallas, North Carolina"
57970860,14,"Category:People from Davidson, North Carolina"
57904013,14,"Category:People from Denton, North Carolina"
30845796,14,"Category:People from Dobson, North Carolina"
30929069,14,"Category:People from East Bend, North Carolina"
57887520,14,"Category:People from Edenton, North Carolina"
57814899,14,"Category:People from Elizabethtown, North Carolina"
30929991,14,"Category:People from Elkin, North Carolina"
57996893,14,"Category:People from Ellerbe, North Carolina"
58099386,14,"Category:People from Elm City, North Carolina"
57880314,14,"Category:People from Emerald Isle, North Carolina"
31028225,14,"Category:People from Enfield, North Carolina"
58004399,14,"Category:People from Fairmont, North Carolina"
57907159,14,"Category:People from Faison, North Carolina"
33616281,14,"Category:People from Farmville, North Carolina"
57932608,14,"Category:People from Fletcher, North Carolina"
30840655,14,"Category:People from Forest City, North Carolina"
57959445,14,"Category:People from Franklin, North Carolina"
31002559,14,"Category:People from Franklinton, North Carolina"
58024763,14,"Category:People from Fuquay-Varina, North Carolina"
58025125,14,"Category:People from Garner, North Carolina"
31026953,14,"Category:People from Gaston, North Carolina"
57911690,14,"Category:People from Gatesville, North Carolina"
57878422,14,"Category:People from Granite Falls, North Carolina"
44536526,14,"Category:People from Grifton, North Carolina"
31028034,14,"Category:People from Halifax, North Carolina"
31027879,14,"Category:People from Harrellsville, North Carolina"
57872692,14,"Category:People from Harrisburg, North Carolina"
31323807,14,"Category:People from Hertford, North Carolina"
19063492,14,"Category:People from Hillsborough, North Carolina"
58032662,14,"Category:People from Holly Springs, North Carolina"
57902479,14,"Category:People from Hope Mills, North Carolina"
57968235,14,"Category:People from Huntersville, North Carolina"
57917544,14,"Category:People from Jamestown, North Carolina"
30929259,14,"Category:People from Jonesville, North Carolina"
31877808,14,"Category:People from Kenansville, North Carolina"
58099459,14,"Category:People from Kenly, North Carolina"
30928671,14,"Category:People from Kernersville, North Carolina"
30931135,14,"Category:People from King, North Carolina"
58024462,14,"Category:People from Kittrell, North Carolina"
58032998,14,"Category:People from Knightdale, North Carolina"
57952741,14,"Category:People from La Grange, North Carolina"
30841531,14,"Category:People from Lake Lure, North Carolina"
57925939,14,"Category:People from Lillington, North Carolina"
57925027,14,"Category:People from Littleton, North Carolina"
31002738,14,"Category:People from Louisburg, North Carolina"
31030097,14,"Category:People from Macon, North Carolina"
58011112,14,"Category:People from Madison, North Carolina"
57883606,14,"Category:People from Maiden, North Carolina"
57903726,14,"Category:People from Manteo, North Carolina"
30922865,14,"Category:People from Mars Hill, North Carolina"
30922988,14,"Category:People from Marshall, North Carolina"
58024386,14,"Category:People from Marshville, North Carolina"
57973458,14,"Category:People from Matthews, North Carolina"
31025750,14,"Category:People from Maxton, North Carolina"
30930634,14,"Category:People from Mocksville, North Carolina"
34049326,14,"Category:People from Mooresville, North Carolina"
57880144,14,"Category:People from Morehead City, North Carolina"
58027651,14,"Category:People from Morrisville, North Carolina"
57974479,14,"Category:People from Mount Gilead, North Carolina"
31027071,14,"Category:People from Murfreesboro, North Carolina"
57887442,14,"Category:People from Murphy, North Carolina"
57883335,14,"Category:People from Newton, North Carolina"
30889981,14,"Category:People from North Wilkesboro, North Carolina"
58018052,14,"Category:People from Norwood, North Carolina"
58018006,14,"Category:People from Oakboro, North Carolina"
6707374,14,"Category:People from Pembroke, North Carolina"
34884067,14,"Category:People from Boone, North Carolina"
57973725,14,"Category:People from Pineville, North Carolina"
30838491,14,"Category:People from Pittsboro, North Carolina"
57917437,14,"Category:People from Pleasant Garden, North Carolina"
57814438,14,"Category:People from Plymouth, North Carolina"
57800977,14,"Category:People from Polkton, North Carolina"
31025273,14,"Category:People from Red Springs, North Carolina"
31026003,14,"Category:People from Rich Square, North Carolina"
57984067,14,"Category:People from Richlands, North Carolina"
6196355,14,"Category:People from Robbinsville, North Carolina"
57738384,14,"Category:People from Rockingham, North Carolina"
31877875,14,"Category:People from Rose Hill, North Carolina"
58017873,14,"Category:People from Roseboro, North Carolina"
31958704,14,"Category:People from Roxobel, North Carolina"
30841126,14,"Category:People from Rutherfordton, North Carolina"
31028706,14,"Category:People from Scotland Neck, North Carolina"
31028776,14,"Category:People from Seaboard, North Carolina"
30838529,14,"Category:People from Siler City, North Carolina"
54377020,14,"Category:People from Smithfield, North Carolina"
33616421,14,"Category:People from Snow Hill, North Carolina"
57974641,14,"Category:People from Southern Pines, North Carolina"
58114752,14,"Category:People from Spencer, North Carolina"
53520640,14,"Category:People from Spindale, North Carolina"
30840262,14,"Category:People from Spring Lake, North Carolina"
57973956,14,"Category:People from Spruce Pine, North Carolina"
58004373,14,"Category:People from St. Pauls, North Carolina"
58087632,14,"Category:People from Stantonsburg, North Carolina"
57917032,14,"Category:People from Summerfield, North Carolina"
57795083,14,"Category:People from Swepsonville, North Carolina"
52095774,14,"Category:People from Sylva, North Carolina"
57901724,14,"Category:People from Tabor City, North Carolina"
57799737,14,"Category:People from Taylorsville, North Carolina"
57939237,14,"Category:People from Troutman, North Carolina"
57994946,14,"Category:People from Tryon, North Carolina"
57871526,14,"Category:People from Valdese, North Carolina"
30840570,14,"Category:People from Wadesboro, North Carolina"
58027217,14,"Category:People from Wake Forest, North Carolina"
31877793,14,"Category:People from Wallace, North Carolina"
31029102,14,"Category:People from Warrenton, North Carolina"
31877861,14,"Category:People from Warsaw, North Carolina"
58023433,14,"Category:People from Waxhaw, North Carolina"
30915217,14,"Category:People from Waynesville, North Carolina"
30912034,14,"Category:People from Weaverville, North Carolina"
58023394,14,"Category:People from Weddington, North Carolina"
31028639,14,"Category:People from Weldon, North Carolina"
58004759,14,"Category:People from Wentworth, North Carolina"
39376255,14,"Category:People from Whitakers, North Carolina"
30890078,14,"Category:People from Wilkesboro, North Carolina"
27338726,14,"Category:People from Williamston, North Carolina"
31958727,14,"Category:People from Windsor, North Carolina"
57994817,14,"Category:People from Winterville, North Carolina"
57933951,14,"Category:People from Winton, North Carolina"
27331028,14,"Category:People from Woodfin, North Carolina"
30929051,14,"Category:People from Yadkinville, North Carolina"
57880518,14,"Category:People from Yanceyville, North Carolina"
57909313,14,"Category:People from Youngsville, North Carolina"
58031835,14,"Category:People from Zebulon, North Carolina"
