pageid,ns,title
33749857,14,"Category:People from Adair, Oklahoma"
57241144,14,"Category:People from Allen, Oklahoma"
44609553,14,"Category:People from Boley, Oklahoma"
44607994,14,"Category:People from Braggs, Oklahoma"
44573274,14,"Category:People from Carnegie, Oklahoma"
44612300,14,"Category:People from Fairfax, Oklahoma"
44615891,14,"Category:People from Fairland, Oklahoma"
39366735,14,"Category:People from Fort Gibson, Oklahoma"
44606747,14,"Category:People from Garvin, Oklahoma"
44630099,14,"Category:People from Gore, Oklahoma"
58945157,14,"Category:People from Hammon, Oklahoma"
57871095,14,"Category:People from Leedey, Oklahoma"
44597658,14,"Category:People from Locust Grove, Oklahoma"
44594711,14,"Category:People from Meeker, Oklahoma"
44629969,14,"Category:People from Muldrow, Oklahoma"
54167212,14,"Category:People from Okarche, Oklahoma"
44597625,14,"Category:People from Salina, Oklahoma"
44583958,14,"Category:People from Shattuck, Oklahoma"
27998928,14,"Category:People from Skiatook, Oklahoma"
41822904,14,"Category:People from Spiro, Oklahoma"
