pageid,ns,title
25995947,14,"Category:People from Barrington, Rhode Island"
25544978,14,"Category:People from Bristol, Rhode Island"
24979953,14,"Category:People from Burrillville, Rhode Island"
25438724,14,"Category:People from Coventry, Rhode Island"
25439206,14,"Category:People from Cumberland, Rhode Island"
25405742,14,"Category:People from East Greenwich, Rhode Island"
30873718,14,"Category:People from Foster, Rhode Island"
25544928,14,"Category:People from Glocester, Rhode Island"
25439079,14,"Category:People from Hopkinton, Rhode Island"
30874327,14,"Category:People from Johnston, Rhode Island"
33688018,14,"Category:People from Little Compton, Rhode Island"
25698918,14,"Category:People from Middletown, Rhode Island"
25438037,14,"Category:People from New Shoreham, Rhode Island"
25405471,14,"Category:People from North Kingstown, Rhode Island"
26356054,14,"Category:People from North Providence, Rhode Island"
21531296,14,"Category:People from North Smithfield, Rhode Island"
25698849,14,"Category:People from Portsmouth, Rhode Island"
25041224,14,"Category:People from Richmond, Rhode Island"
25405813,14,"Category:People from Scituate, Rhode Island"
25544859,14,"Category:People from Smithfield, Rhode Island"
25320837,14,"Category:People from South Kingstown, Rhode Island"
25698775,14,"Category:People from Tiverton, Rhode Island"
25545106,14,"Category:People from Warren, Rhode Island"
25732174,14,"Category:People from West Greenwich, Rhode Island"
25520642,14,"Category:People from West Warwick, Rhode Island"
25041134,14,"Category:People from Westerly, Rhode Island"
