pageid,ns,title
57684693,14,"Category:People from Allendale, South Carolina"
57731287,14,"Category:People from Andrews, South Carolina"
30932019,14,"Category:People from Aynor, South Carolina"
53131050,14,"Category:People from Batesburg-Leesville, South Carolina"
57713512,14,"Category:People from Blacksburg, South Carolina"
57690419,14,"Category:People from Blackville, South Carolina"
57699263,14,"Category:People from Bluffton, South Carolina"
57728489,14,"Category:People from Blythewood, South Carolina"
57683009,14,"Category:People from Calhoun Falls, South Carolina"
57769509,14,"Category:People from Central, South Carolina"
57749068,14,"Category:People from Chapin, South Carolina"
30982448,14,"Category:People from Cheraw, South Carolina"
30982611,14,"Category:People from Chesterfield, South Carolina"
31261688,14,"Category:People from Clio, South Carolina"
57772855,14,"Category:People from Duncan, South Carolina"
57772134,14,"Category:People from Eastover, South Carolina"
30970642,14,"Category:People from Edgefield, South Carolina"
30971445,14,"Category:People from Elloree, South Carolina"
37121831,14,"Category:People from Fort Mill, South Carolina"
57746867,14,"Category:People from Gray Court, South Carolina"
57684518,14,"Category:People from Hamburg, South Carolina"
57764368,14,"Category:People from Hemingway, South Carolina"
30971587,14,"Category:People from Holly Hill, South Carolina"
57686938,14,"Category:People from Honea Path, South Carolina"
57771673,14,"Category:People from Irmo, South Carolina"
57728367,14,"Category:People from Johnston, South Carolina"
57744509,14,"Category:People from Kershaw, South Carolina"
37743727,14,"Category:People from Kingstree, South Carolina"
57716562,14,"Category:People from Lamar, South Carolina"
57716947,14,"Category:People from Latta, South Carolina"
57747302,14,"Category:People from Lexington, South Carolina"
57773042,14,"Category:People from Lyman, South Carolina"
57789208,14,"Category:People from Mayesville, South Carolina"
57708988,14,"Category:People from McClellanville, South Carolina"
57756017,14,"Category:People from McCormick, South Carolina"
30993447,14,"Category:People from Moncks Corner, South Carolina"
57736841,14,"Category:People from Ninety Six, South Carolina"
30972765,14,"Category:People from North, South Carolina"
57772821,14,"Category:People from Pacolet, South Carolina"
30982541,14,"Category:People from Pageland, South Carolina"
57687120,14,"Category:People from Pelzer, South Carolina"
57786929,14,"Category:People from Pinewood, South Carolina"
57699450,14,"Category:People from Port Royal, South Carolina"
57757570,14,"Category:People from Prosperity, South Carolina"
57739678,14,"Category:People from Ridgeland, South Carolina"
57728582,14,"Category:People from Ridgeway, South Carolina"
57772772,14,"Category:People from Saluda, South Carolina"
57769819,14,"Category:People from Six Mile, South Carolina"
57716525,14,"Category:People from Society Hill, South Carolina"
53555415,14,"Category:People from St. George, South Carolina"
57705894,14,"Category:People from St. Matthews, South Carolina"
57705639,14,"Category:People from St. Stephen, South Carolina"
57706391,14,"Category:People from Sullivan's Island, South Carolina"
47845975,14,"Category:People from Timmonsville, South Carolina"
57728226,14,"Category:People from Trenton, South Carolina"
57684043,14,"Category:People from Wagener, South Carolina"
57757697,14,"Category:People from Walhalla, South Carolina"
41217235,14,"Category:People from Ware Shoals, South Carolina"
57757640,14,"Category:People from Whitmire, South Carolina"
57687183,14,"Category:People from Williamston, South Carolina"
57689499,14,"Category:People from Williston, South Carolina"
19577540,14,"Category:People from Winnsboro, South Carolina"
57699479,14,"Category:People from Yemassee, South Carolina"
