pageid,ns,title
43898354,14,"Category:People from Bay City, Texas"
57153914,14,"Category:People from Big Sandy, Texas"
57086462,14,"Category:People from Booker, Texas"
57127161,14,"Category:People from Bowie, Texas"
57150510,14,"Category:People from Buffalo Gap, Texas"
30387030,14,"Category:People from Crawford, Texas"
57156828,14,"Category:People from Edgewood, Texas"
57138436,14,"Category:People from Happy, Texas"
57057345,14,"Category:People from Highland Park, Texas"
57119191,14,"Category:People from Kosse, Texas"
57136040,14,"Category:People from Livingston, Texas"
57071361,14,"Category:People from Lockney, Texas"
57127105,14,"Category:People from Loraine, Texas"
57129461,14,"Category:People from Matador, Texas"
57057200,14,"Category:People from Oak Cliff, Texas"
57053900,14,"Category:People from Paducah, Texas"
39171524,14,"Category:People from Prosper, Texas"
57043140,14,"Category:People from Santa Anna, Texas"
31268626,14,"Category:People from Tenaha, Texas"
57152421,14,"Category:People from Woodville, Texas"
