pageid,ns,title
58724750,14,"Category:People from Abrams, Wisconsin"
58963445,14,"Category:People from Addison, Wisconsin"
58657417,14,"Category:People from Ahnapee, Wisconsin"
58535228,14,"Category:People from Albion, Dane County, Wisconsin"
58663518,14,"Category:People from Argyle, Wisconsin"
58519337,14,"Category:People from Arlington, Wisconsin"
58556997,14,"Category:People from Ashippun, Wisconsin"
58899737,14,"Category:People from Avon, Wisconsin"
58636580,14,"Category:People from Aztalan, Wisconsin"
58558639,14,"Category:People from Baileys Harbor, Wisconsin"
58662483,14,"Category:People from Bangor, Wisconsin"
58960753,14,"Category:People from Barton, Wisconsin"
58585656,14,"Category:People from Beetown, Wisconsin"
58742328,14,"Category:People from Belgium, Wisconsin"
58664359,14,"Category:People from Belmont, Wisconsin"
6826448,14,"Category:People from Beloit, Wisconsin"
58726049,14,"Category:People from Black Creek, Wisconsin"
58532735,14,"Category:People from Black Earth, Wisconsin"
58536656,14,"Category:People from Blooming Grove, Wisconsin"
58738335,14,"Category:People from Bovina, Wisconsin"
58646750,14,"Category:People from Brighton, Kenosha County, Wisconsin"
58647247,14,"Category:People from Bristol, Kenosha County, Wisconsin"
58490336,14,"Category:People from Brothertown, Wisconsin"
58541784,14,"Category:People from Burke, Wisconsin"
58557303,14,"Category:People from Burnett, Wisconsin"
58658618,14,"Category:People from Burns, Wisconsin"
58568863,14,"Category:People from Byron, Fond du Lac County, Wisconsin"
58573999,14,"Category:People from Calumet, Wisconsin"
58672594,14,"Category:People from Cato, Wisconsin"
58667069,14,"Category:People from Centerville, Manitowoc County, Wisconsin"
58490184,14,"Category:People from Charlestown, Wisconsin"
58536899,14,"Category:People from Christiana, Dane County, Wisconsin"
58895898,14,"Category:People from Clinton, Rock County, Wisconsin"
58564399,14,"Category:People from Colfax, Wisconsin"
58637424,14,"Category:People from Concord, Wisconsin"
58529520,14,"Category:People from Cottage Grove, Wisconsin"
58953137,14,"Category:People from Darien, Wisconsin"
58995280,14,"Category:People from Dayton, Waupaca County, Wisconsin"
58536760,14,"Category:People from Deerfield, Wisconsin"
58982627,14,"Category:People from Delafield, Wisconsin"
58949534,14,"Category:People from Delavan, Wisconsin"
58892858,14,"Category:People from Dover, Racine County, Wisconsin"
58536935,14,"Category:People from Dunkirk, Wisconsin"
58467329,14,"Category:People from Durand, Wisconsin"
58965828,14,"Category:People from Eagle, Wisconsin"
58949202,14,"Category:People from East Troy, Wisconsin"
58557177,14,"Category:People from Elba, Wisconsin"
58737923,14,"Category:People from Ellington, Wisconsin"
58552534,14,"Category:People from Emmet, Dodge County, Wisconsin"
58567961,14,"Category:People from Empire, Wisconsin"
58663290,14,"Category:People from Farmington, La Crosse County, Wisconsin"
58664074,14,"Category:People from Fayette, Wisconsin"
58582648,14,"Category:People from Fennimore, Wisconsin"
58567094,14,"Category:People from Florence, Wisconsin"
58569891,14,"Category:People from Forest, Fond du Lac County, Wisconsin"
58507470,14,"Category:People from Fountain Prairie, Wisconsin"
58657262,14,"Category:People from Franklin, Kewaunee County, Wisconsin"
58744973,14,"Category:People from Fredonia, Wisconsin"
